event_number	ed_code	ballot_sequence_number	candidate_first_name	candidate_middle_name	candidate_last_name	candidate_gender_code	elected_indicator	incumbent_indicator	candidate_ed_vote_count	candidate_party_english_name	candidate_party_french_name	poll_number	polling_station_name	candidate_poll_vote_count
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	1	Wesleyville	3
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	1	Lumsden	19
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	10	Old Perlican	12
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	10	Badger's Quay-Valleyfield-Pool's Island	44
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	100	Melrose	80
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	101	Trinity-Lockston	26
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	102	Trinity East	21
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	103	Port Rexton	40
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	104	Champney's West-Champney's Arm	13
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	105	English Harbour-Champney's East	15
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	106	Old & New Bonaventure	8
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	107	Trouty	20
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	108	Dunfield-Goose Cove	11
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	109	Adeytown-Deep Bight	37
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	11	Victoria	9
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	11	Pool's Island	10
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	110	Clarenville	48
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	111	Clarenville	24
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	112	Clarenville	54
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	113	Clarenville	44
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	114	Clarenville	27
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	115A-J	Clarenville	59
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	115K-Z	Clarenville	37
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	116	Clarenville	103
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	117	Hillview-Dark Hole	32
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	118	Hatchet Cove	27
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	119	St. Jones Within	4
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	12	Arnold's Cove	0
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	12	Greenspond	63
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	120	Butter Cove-Southport	35
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	121	Northwest Brook-Ivany Cove	49
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	122	Queen's Cove	35
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	123	Long Beach	31
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	124	Hodge's Cove-Caplin Cove	88
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	125	Little Heart's Ease	42
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	126	Goobies	13
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	127	Sunnyside	26
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	128	Come-by-Chance	27
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	129	Sunnyside	32
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	13	Green's Harbour	10
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	13	Centreville-Indian Bay	21
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	130	Heart's Content	44
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	131	New Perlican	38
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	132	Winterton-Turks Cove	38
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	133A	Winterton	48
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	133B	Mobile poll/Bureau itinérant	4
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	134	Hant's Harbour	85
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	135	New Chelsea	13
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	136	Brownsdale-New Melbourne	39
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	137	Sibley's Cove-Lead Cove	76
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	138A	Old Perlican	38
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	138B	Mobile poll/Bureau itinérant	0
3600	ED10-001	01	Randy		Dawe	M	N	N	10332	Progressive Conservative	Progressiste-Conservateur	139	Low Point-Lower Island Cove	77
