event_number	ed_code	ballot_sequence_number	candidate_first_name	candidate_middle_name	candidate_last_name	candidate_gender_code	elected_indicator	incumbent_indicator	candidate_ed_vote_count	candidate_party_english_name	candidate_party_french_name	poll_number	polling_station_name	candidate_poll_vote_count
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	1	Chéticamp	20
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	1	Chéticamp	36
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	10	Belle Côte	62
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	10	Glace Bay	89
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	100	Main-à-Dieu	19
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	101	Bateston	39
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	102	Louisbourg	31
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	103	Louisbourg	34
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	104	Louisbourg	38
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	105	Trout Brook	52
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	106	Grand Mira South	49
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	107	Gabarus	47
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	108	Grand Lake Road	28
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	109	Gardiner Mines	31
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	11	Big Intervale	79
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	11	Donkin	34
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	110	Reserve Mines	27
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	111	Reserve Mines	21
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	112	Reserve Mines	19
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	113	Reserve Mines	32
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	114	Grand Lake Road	32
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	115	Grand Lake Road	21
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	116	Grand Lake Road	26
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	117	Dominion	28
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	118	Dominion	26
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	119	Dominion	38
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	12	North East Margaree	157
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	120	Dominion	23
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	121	Dominion	20
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	122	Glace Bay	24
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	123	Glace Bay	15
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	124	Glace Bay	7
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	125	Glace Bay	11
3600	ED12-001	01	Frank		Crowdis	M	N	N	8620	Progressive Conservative	Progressiste-Conservateur	126	Glace Bay	20
