event_number	ed_code	ballot_sequence_number	candidate_first_name	candidate_middle_name	candidate_last_name	candidate_gender_code	elected_indicator	incumbent_indicator	candidate_ed_vote_count	candidate_party_english_name	candidate_party_french_name	poll_number	polling_station_name	candidate_poll_vote_count
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	1	Grand Tracadie	43
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	1	Mount Stewart	5
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	10	Fort Augustus	29
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	11	Waterside	30
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	12	Donagh	35
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	13	Mermaid	60
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	14	Hazelbrook	33
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	15	Cross Roads	59
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	16	Cross Roads	24
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	17	Cross Roads	35
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	18	Cross Roads	21
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	19	Pownall	42
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	2	Dunstaffnage	35
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	2	Cross Roads	22
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	20	Pownall	41
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	21	Cherry Valley	20
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	22	Vernon River	26
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	23	Iona	15
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	24	Iona	33
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	25	Eldon	27
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	26	Belfast	23
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	27	Belle River	46
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	28	High Bank	33
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	29	Murray Harbour	28
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	3	Tracadie	28
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	3	Montague	19
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	30	Murray Harbour	27
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	31	Murray River	24
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	32	Murray River	27
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	33	Glenwilliam	22
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	34	Murray Harbour North	19
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	35	Sturgeon	14
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	36	St. Marys Road	13
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	37	Kilmuir	18
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	38	Lower Montague	15
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	39	Georgetown	14
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	4	Mount Stewart	26
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	4	Souris	14
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	40	Georgetown	21
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	41	Montague	11
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	42	Montague	11
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	43	Montague	30
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	44	Montague	23
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	45	Montague	26
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	46	Montague	18
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	47	Victoria Cross	16
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	48	Victoria Cross	13
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	49	Georgetown	21
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	5	Mount Stewart	32
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	50	Baldwin Road	35
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	500	Mobile poll/Bureau itinérant	1
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	501	Mobile poll/Bureau itinérant	2
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	51	Cardigan	15
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	52	St. Peters Bay	15
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	53	St. Peters Bay	15
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	54	Monticello	13
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	55	Dundas	45
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	56	Newport	21
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	57	Fortune Bay	14
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	58	St. Margarets	14
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	59	St. Margarets	13
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	6	Head of Hillsborough	49
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	60	New Zealand	21
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	61	Souris	23
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	62	Souris	6
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	63	Souris	18
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	64	Souris	25
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	65	Greenvale	19
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	66	Munns Road	27
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	67	Bothwell	20
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	7	Morell	16
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	8	Morell	22
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	9	Sinnott Road	20
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	SVR/RÉS-1		7
3600	ED11-001	01	Larry		Duchesne	M	N	N	1761	N.D.P.	N.P.D.	SVR/RÉS-2		18
