event_number	ed_code	ballot_sequence_number	candidate_first_name	candidate_middle_name	candidate_last_name	candidate_gender_code	elected_indicator	incumbent_indicator	candidate_ed_vote_count	candidate_party_english_name	candidate_party_french_name	poll_number	polling_station_name	candidate_poll_vote_count
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	1	Fort Pitt	6
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	10	Spruce Lake	11
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	10	Wilkie	19
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	100	Freemont	22
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	101	Senlac	7
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	102	Unity	23
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	103	Unity	42
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	104	Unity	62
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	105	Unity	30
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	106	Unity	21
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	107	Unity	32
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	108	Unity	50
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	109	Macklin	23
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	11	Turtleford	15
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	11	Kerrobert	15
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	110	Macklin	67
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	111	Macklin	74
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	112	Reward	52
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	113	Swarthmore	31
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	114	Wilkie	62
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	115	Wilkie	71
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	116	Wilkie	56
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	117	Mosquito 109	21
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	118	Mosquito 109	20
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	119	Mosquito 109	22
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	12	Turtleford	36
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	12	Kindersley	40
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	120	Mosquito 109	27
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	121	Scott	58
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	122	Landis	31
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	123	Cactus Lake	32
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	124	Salvador	35
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	125	Luseland	14
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	126	Luseland	25
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	127	Luseland	34
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	128	Tramping Lake	38
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	129	Kelfield	36
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	13	Livelong	43
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	130	Major	24
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	131	Kerrobert	27
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	132	Kerrobert	43
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	133	Kerrobert	39
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	134	Plenty	40
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	135	Dodsland	31
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	136	Marengo	22
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	137	Smiley	11
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	138	Coleville	29
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	139	Coleville	32
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	14	Mervin	21
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	140	Flaxcombe	13
3600	ED47-001	01	Glenn		Hornick	M	N	N	6155	Liberal	Libéral	141	Kindersley	29
