event_number	ed_code	ballot_sequence_number	candidate_first_name	candidate_middle_name	candidate_last_name	candidate_gender_code	elected_indicator	incumbent_indicator	candidate_ed_vote_count	candidate_party_english_name	candidate_party_french_name	poll_number	polling_station_name	candidate_poll_vote_count
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	1	Old Crow	38
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	1	Dawson	6
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	10	Koidern	0
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	10	Whitehorse	58
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	11	Burwash Landing	16
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	11	MacRae	10
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	12	Destruction Bay	3
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	12	Carcross	4
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	13	Pelly Crossing	30
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	13	Swift River	2
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	14	Carmacks	31
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	14	Watson Lake	8
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	15	Faro	0
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	16	Faro	35
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	17	Faro	22
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	18	Little Salmon	0
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	19	Ross River	43
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	2	Eagle Plains	0
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	2	Mayo	7
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	20A	Haines Junction	41
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	20B	Haines Junction	47
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	21	Takhini	5
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	22	Upper Laberge	23
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	23	Takhini	37
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	24	Takhini	31
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	25	Whitehorse	36
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	26	Whitehorse	51
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	27	Whitehorse	26
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	28	Whitehorse	27
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	29	Whitehorse	24
3600	ED60-001	01	Shirley		Adamson	F	N	N	3036	Liberal	Libéral	3	Dawson	74
