event_number	ed_code	ballot_sequence_number	candidate_first_name	candidate_middle_name	candidate_last_name	candidate_gender_code	elected_indicator	incumbent_indicator	candidate_ed_vote_count	candidate_party_english_name	candidate_party_french_name	poll_number	polling_station_name	candidate_poll_vote_count
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	1	Kirkella	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	10	Virden	1
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	100	Westview	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	101	Westview	2
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	102	Linden Lanes	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	103	Richmond Park	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	104	Linden Lanes	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	105	Richmond Park	1
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	106	Richmond Park	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	107	Brandon	1
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	108	Brandon	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	109	Brandon	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	11	Virden	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	110	Brandon	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	111	Brandon 	2
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	112	Brandon 	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	113	Brandon	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	114	Brandon	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	115	Brandon 	1
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	116	Brandon 	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	117	Brandon	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	118	Greenacres	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	119	Greenacres	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	12	Virden	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	120	Greenacres	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	121	Greenacres	1
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	122	Trinity Park	2
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	123	Trinity Park	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	124	Trinity Park	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	125	Richmond Park	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	126	Trinity Park	1
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	127	Broomhill 	1
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	128	Grande-Clairière	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	129	Hartney 	2
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	13	Virden	1
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	130	Argue	1
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	131	Elgin	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	132	Minto	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	133	Pierson	1
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	134	Elva	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	135	Melita	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	136	Melita	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	137	Melita	1
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	138	Medora	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	139	Deloraine	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	14	Maskawata	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	140	Deloraine	5
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	141	Deloraine	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	142	Whitewater	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	143	Boissevain	2
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	144	Boissevain	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	145	Boissevain	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	146	Coulter	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	147	Waskada	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	148	Goodlands	0
3700	ED46-001	1	Colin	G.	Atkins	M	N	N	94	No Affiliation	Aucune appartenance	149	Boissevain	1
