event_number	ed_code	ballot_sequence_number	candidate_first_name	candidate_middle_name	candidate_last_name	candidate_gender_code	elected_indicator	incumbent_indicator	candidate_ed_vote_count	candidate_party_english_name	candidate_party_french_name	poll_number	polling_station_name	candidate_poll_vote_count
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	1	Pointe-Verte	8
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	10	Petit-Rocher	15
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	100	Rang-Saint-Georges	0
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	101	Rang-Saint-Georges	3
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	102	Maltampec	4
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	103	Maltampec	4
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	104	Pokemouche	6
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	105	Sainte-Anne-du-Bocage	5
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	106	Pointe-Rocheuse	6
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	107	Pointe-Rocheuse	2
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	108	Caraquet	4
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	109	Caraquet	8
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	11	Petit-Rocher	9
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	110	Caraquet	6
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	111	Caraquet	3
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	112	Caraquet	8
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	113	Caraquet	9
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	114	Bas-Caraquet	4
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	115	Bas-Caraquet	16
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	116	Bas-Caraquet	2
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	117	Bas-Caraquet	14
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	118	Pokesudie	6
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	119	Blanchard Settlement	7
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	12	Petit-Rocher	8
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	120A	Centre-Saint-Simon	4
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	120B	Centre-Saint-Simon	1
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	121	Inkerman	10
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	122	Evangeline	6
3700	ED13-001	1	Jean		Gauvin	M	N	N	2314	Canadian Alliance	Alliance Canadienne	123	Inkerman	11
