event_number	ed_code	ballot_sequence_number	candidate_first_name	candidate_middle_name	candidate_last_name	candidate_gender_code	elected_indicator	incumbent_indicator	candidate_ed_vote_count	candidate_party_english_name	candidate_party_french_name	poll_number	polling_station_name	candidate_poll_vote_count
3700	ED61-002	1	Dennis		Bevington	M	N	N	3430	N.D.P.	N.P.D.	10	Inuvik	29
3700	ED61-002	1	Dennis		Bevington	M	N	N	3430	N.D.P.	N.P.D.	11	Inuvik	28
3700	ED61-002	1	Dennis		Bevington	M	N	N	3430	N.D.P.	N.P.D.	12	Inuvik	38
3700	ED61-002	1	Dennis		Bevington	M	N	N	3430	N.D.P.	N.P.D.	13	Inuvik	34
3700	ED61-002	1	Dennis		Bevington	M	N	N	3430	N.D.P.	N.P.D.	14	Inuvik	29
3700	ED61-002	1	Dennis		Bevington	M	N	N	3430	N.D.P.	N.P.D.	15	Aklavik	39
3700	ED61-002	1	Dennis		Bevington	M	N	N	3430	N.D.P.	N.P.D.	16	Aklavik	30
3700	ED61-002	1	Dennis		Bevington	M	N	N	3430	N.D.P.	N.P.D.	17	Fort McPherson	7
3700	ED61-002	1	Dennis		Bevington	M	N	N	3430	N.D.P.	N.P.D.	18	Fort McPherson	19
3700	ED61-002	1	Dennis		Bevington	M	N	N	3430	N.D.P.	N.P.D.	19	Arctic Red River	21
3700	ED61-002	1	Dennis		Bevington	M	N	N	3430	N.D.P.	N.P.D.	2	Sachs Harbour	1
3700	ED61-002	1	Dennis		Bevington	M	N	N	3430	N.D.P.	N.P.D.	20	Fort Good Hope	48
3700	ED61-002	1	Dennis		Bevington	M	N	N	3430	N.D.P.	N.P.D.	21	Colville Lake	14
3700	ED61-002	1	Dennis		Bevington	M	N	N	3430	N.D.P.	N.P.D.	22	Fort Franklin	9
3700	ED61-002	1	Dennis		Bevington	M	N	N	3430	N.D.P.	N.P.D.	23	Norman Wells	55
3700	ED61-002	1	Dennis		Bevington	M	N	N	3430	N.D.P.	N.P.D.	24	Fort Norman	10
3700	ED61-002	1	Dennis		Bevington	M	N	N	3430	N.D.P.	N.P.D.	25	Wrigley	25
3700	ED61-002	1	Dennis		Bevington	M	N	N	3430	N.D.P.	N.P.D.	26	Nahanni Butte	1
3700	ED61-002	1	Dennis		Bevington	M	N	N	3430	N.D.P.	N.P.D.	27	Fort Simpson	35
3700	ED61-002	1	Dennis		Bevington	M	N	N	3430	N.D.P.	N.P.D.	28	Fort Simpson	57
3700	ED61-002	1	Dennis		Bevington	M	N	N	3430	N.D.P.	N.P.D.	29	Jean Marie River	8
