event_number	ed_code	ballot_sequence_number	candidate_first_name	candidate_middle_name	candidate_last_name	candidate_gender_code	elected_indicator	incumbent_indicator	candidate_ed_vote_count	candidate_party_english_name	candidate_party_french_name	poll_number	polling_station_name	candidate_poll_vote_count
3700	ED62-001	1	Palluq	Susan	Enuaraq	F	N	N	1410	N.D.P.	N.P.D.	10	Taloyoak	12
3700	ED62-001	1	Palluq	Susan	Enuaraq	F	N	N	1410	N.D.P.	N.P.D.	11	Cambridge Bay	18
3700	ED62-001	1	Palluq	Susan	Enuaraq	F	N	N	1410	N.D.P.	N.P.D.	12	Cambridge Bay	21
3700	ED62-001	1	Palluq	Susan	Enuaraq	F	N	N	1410	N.D.P.	N.P.D.	18	Coppermine	16
3700	ED62-001	1	Palluq	Susan	Enuaraq	F	N	N	1410	N.D.P.	N.P.D.	19	Coppermine	22
3700	ED62-001	1	Palluq	Susan	Enuaraq	F	N	N	1410	N.D.P.	N.P.D.	2	Polaris	3
3700	ED62-001	1	Palluq	Susan	Enuaraq	F	N	N	1410	N.D.P.	N.P.D.	20	Umingmaktok	1
3700	ED62-001	1	Palluq	Susan	Enuaraq	F	N	N	1410	N.D.P.	N.P.D.	21	Bathurst Inlet	4
3700	ED62-001	1	Palluq	Susan	Enuaraq	F	N	N	1410	N.D.P.	N.P.D.	22	Gjoa Haven	67
3700	ED62-001	1	Palluq	Susan	Enuaraq	F	N	N	1410	N.D.P.	N.P.D.	23	Pelly Bay	30
3700	ED62-001	1	Palluq	Susan	Enuaraq	F	N	N	1410	N.D.P.	N.P.D.	24	Igloolik	93
3700	ED62-001	1	Palluq	Susan	Enuaraq	F	N	N	1410	N.D.P.	N.P.D.	25	Hall Beach	27
3700	ED62-001	1	Palluq	Susan	Enuaraq	F	N	N	1410	N.D.P.	N.P.D.	26	Repulse Bay	24
3700	ED62-001	1	Palluq	Susan	Enuaraq	F	N	N	1410	N.D.P.	N.P.D.	27	Baker Lake	23
3700	ED62-001	1	Palluq	Susan	Enuaraq	F	N	N	1410	N.D.P.	N.P.D.	28	Baker Lake	16
3700	ED62-001	1	Palluq	Susan	Enuaraq	F	N	N	1410	N.D.P.	N.P.D.	29	Chesterfield Inlet	21
3700	ED62-001	1	Palluq	Susan	Enuaraq	F	N	N	1410	N.D.P.	N.P.D.	30	Rankin Inlet	18
3700	ED62-001	1	Palluq	Susan	Enuaraq	F	N	N	1410	N.D.P.	N.P.D.	31	Rankin Inlet	15
3700	ED62-001	1	Palluq	Susan	Enuaraq	F	N	N	1410	N.D.P.	N.P.D.	32	Rankin Inlet	23
3700	ED62-001	1	Palluq	Susan	Enuaraq	F	N	N	1410	N.D.P.	N.P.D.	33	Whale Cove	6
3700	ED62-001	1	Palluq	Susan	Enuaraq	F	N	N	1410	N.D.P.	N.P.D.	34	Arviat	15
