event_number	ed_code	ballot_sequence_number	candidate_first_name	candidate_middle_name	candidate_last_name	candidate_gender_code	elected_indicator	incumbent_indicator	candidate_ed_vote_count	candidate_party_english_name	candidate_party_french_name	poll_number	polling_station_name	candidate_poll_vote_count
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	1	Toronto	20
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	10	Toronto	102
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	100	Toronto	98
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	101	Toronto	95
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	102	Toronto	119
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	103	Toronto	97
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	104	Toronto	98
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	105	Toronto	97
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	106	Toronto	84
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	107	Toronto	129
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	108	Toronto	139
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	109	Toronto	117
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	11	Toronto	83
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	110	Toronto	80
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	111	Toronto	107
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	112	Toronto	142
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	113	Toronto	187
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	114	Toronto	112
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	115	Toronto	94
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	116	Toronto	105
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	117	Toronto	84
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	118	Toronto	96
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	119	Toronto	102
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	12	Toronto	98
3700	ED35-081	1	Carolyn		Bennett	F	Y	Y	25358	Liberal	Libéral	120	Toronto	104
