Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Armstrong,Mark Austin,Jason Blanch,Jim Burrows,Kate Graves,Jim Hnatiuk,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,1,Fort Lawrence,18,14,5,7,0,1,0,45,157
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley, 2A,Tyndal Road,41,31,8,16,0,0,0,96,266
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley, 2B,Mobile poll/Bureau itinérant,Merged with No. 19B/Fusionné avec le nº 19B,,,,,,,,36
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley, 2-1,Tyndal Road,21,17,8,10,0,1,0,57,245
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,3,Hastings,31,16,12,5,0,0,0,64,219
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,4,Brookdale,34,22,10,12,2,3,0,83,223
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,5,Hastings,39,26,7,7,1,4,0,84,298
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,6,West Amherst,47,36,13,27,0,1,1,125,406
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,7,Lower Cove--Joggins,93,31,4,30,2,2,0,162,470
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,8,Joggins,Void/Supprimé,,,,,,,,
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,9,River Hebert,46,37,2,22,3,2,1,113,403
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,10,Strathcona,34,16,5,20,0,3,1,79,251
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,11,Maccan,57,50,8,18,1,2,1,137,432
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,12,Nappan,38,30,12,11,0,5,0,96,334
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,13,Brookdale,38,26,6,14,0,2,1,87,236
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,14,Springhill Junction,15,9,0,4,1,0,0,29,158
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley, 15A,Athol,Merged with No. 89/Fusionné avec le nº 89,,,,,,,,47
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley, 15B,Athol,23,6,1,5,0,1,0,36,154
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,16,Amherst,41,27,20,20,0,2,0,110,335
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,17,Amherst,58,52,13,16,3,6,1,149,401
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,18,Amherst,22,16,10,10,0,2,0,60,310
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley, 19A,Amherst,36,26,10,11,0,1,0,84,326
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley, 19B,Mobile poll/Bureau itinérant,36,11,8,12,0,0,1,68,48
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,20,Amherst,47,37,37,28,1,1,1,152,369
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,21,Amherst,53,44,15,23,1,1,0,137,326
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,22,Amherst,91,37,19,31,0,0,0,178,484
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley, 23A,Amherst,35,18,6,11,0,2,0,72,273
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley, 23B,Amherst,36,14,14,8,0,4,0,76,281
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,24,Amherst,44,35,37,17,1,3,1,138,405
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,25,Amherst,33,18,26,14,0,2,1,94,337
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,26,Amherst,24,16,5,11,0,1,0,57,208
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley, 27A,Amherst,21,16,6,6,0,0,1,50,284
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley, 27B,Mobile poll/Bureau itinérant,13,1,5,1,1,0,0,21,20
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,28,Amherst,58,21,8,28,0,3,0,118,432
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,29,Amherst,19,12,2,6,1,0,0,40,259
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,30,Amherst,30,19,7,7,0,1,0,64,341
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,31,Amherst,31,26,13,18,0,1,1,90,367
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley, 32A,Amherst,18,17,7,13,1,0,1,57,325
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley, 32B,Mobile poll/Bureau itinérant,Merged with No. 19B/Fusionné avec le nº 19B,,,,,,,,41
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley, 33A,Amherst,30,26,6,12,2,0,0,76,377
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley, 33B,Mobile poll/Bureau itinérant,Merged with No. 27B/Fusionné avec le nº 27B,,,,,,,,13
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,34,Amherst,31,32,6,14,3,3,0,89,446
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley, 35A,Amherst,23,27,4,16,0,2,0,72,282
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley, 35B,Amherst,46,30,2,12,1,1,0,92,299
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,36,Amherst Shore,51,28,1,4,2,1,0,87,233
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,37,Tidnish,91,46,9,24,3,1,2,176,485
