Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gabrielle Anctil,Stéphanie Cloutier,Christine Dandenault,Robert David,Christine Lebel,Daniel Paillé,Jean-Claude Rocheleau,John Turmel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24021,Hochelaga/Hochelaga,1,Montréal,0,17,2,26,4,20,9,1,1,80,510
24021,Hochelaga/Hochelaga,2,Montréal,0,9,0,13,0,24,8,1,0,55,358
24021,Hochelaga/Hochelaga,3,Montréal,0,10,2,18,3,17,17,0,1,68,482
24021,Hochelaga/Hochelaga,4,Montréal,1,16,0,21,0,25,1,0,2,66,318
24021,Hochelaga/Hochelaga,5,Montréal,0,16,0,12,1,40,11,1,0,81,384
24021,Hochelaga/Hochelaga,6,Montréal,0,13,1,30,3,36,17,0,2,102,470
24021,Hochelaga/Hochelaga,7,Montréal,0,15,0,21,1,37,6,1,1,82,446
24021,Hochelaga/Hochelaga,8,Montréal,0,13,0,34,2,18,7,3,1,78,379
24021,Hochelaga/Hochelaga,9,Montréal,0,18,1,21,2,13,8,0,1,64,396
24021,Hochelaga/Hochelaga,10,Montréal,0,15,0,20,1,29,20,0,1,86,385
24021,Hochelaga/Hochelaga,11,Montréal,0,7,0,39,4,36,9,0,2,97,382
24021,Hochelaga/Hochelaga,12,Montréal,0,6,0,19,1,25,14,0,0,65,377
24021,Hochelaga/Hochelaga,13,Montréal,0,59,1,78,4,64,22,1,5,234,392
24021,Hochelaga/Hochelaga,14,Montréal,0,15,0,59,0,8,6,0,2,90,310
24021,Hochelaga/Hochelaga,15,Montréal,0,7,1,10,0,17,2,7,0,44,234
24021,Hochelaga/Hochelaga,16,Montréal,0,8,0,13,2,35,11,0,1,70,369
24021,Hochelaga/Hochelaga,17,Montréal,1,5,0,20,0,16,7,0,2,51,357
24021,Hochelaga/Hochelaga,18,Montréal,1,12,0,14,2,23,9,0,2,63,358
24021,Hochelaga/Hochelaga,19,Montréal,0,1,0,18,1,16,6,1,0,43,321
24021,Hochelaga/Hochelaga,20,Montréal,0,8,0,20,1,26,18,0,3,76,367
24021,Hochelaga/Hochelaga,21,Montréal,0,13,0,6,1,29,4,0,0,53,378
24021,Hochelaga/Hochelaga,22,Montréal,0,5,0,10,2,18,1,0,0,36,235
24021,Hochelaga/Hochelaga,23,Montréal,0,6,0,6,4,22,7,0,2,47,272
24021,Hochelaga/Hochelaga,24,Montréal,0,12,0,16,1,26,9,0,0,64,436
24021,Hochelaga/Hochelaga,25,Montréal,0,6,0,24,5,27,7,0,3,72,411
24021,Hochelaga/Hochelaga,26,Montréal,0,16,3,20,1,33,16,0,1,90,357
