Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marcel Catellier,Nancy Gagnon,Bernard Généreux,François Lapointe,Charles A. Marois,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,1,L'Isle-Verte,6,53,40,8,0,1,108,340
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup, 1-1,Notre-Dame-des-Sept-Douleurs,2,13,1,2,0,1,19,36
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,2,L'Isle-Verte,12,35,50,4,2,2,105,312
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,3,L'Isle-Verte,15,62,65,11,3,0,156,460
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,4,Saint-Paul-de-la-Croix,22,42,24,11,8,1,108,289
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,5,Saint-Cyprien,14,53,37,3,2,4,113,297
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup, 6A,Saint-Cyprien,10,34,31,4,0,2,81,233
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup, 6B,Mobile poll/Bureau itinérant,Merged with No. 509/Fusionné avec le nº 509,,,,,,,10
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,7,Saint-Cyprien,8,98,37,8,2,4,157,366
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,8,Saint-Georges-de-Cacouna,9,51,66,5,5,3,139,435
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,9,Saint-Arsène,8,27,28,7,1,0,71,156
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,10,Saint-Arsène,12,65,75,10,1,2,165,456
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup, 10-1,Saint-Arsène,13,50,49,4,4,1,121,308
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,11,Saint-Épiphane,9,40,32,8,3,0,92,304
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,12,Saint-Épiphane,16,33,32,4,1,0,86,352
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,13,Saint-François-Xavier-de-Viger,9,16,21,1,0,4,51,202
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,14,Saint-Hubert-de-Rivière-du-Loup,5,34,28,6,0,0,73,285
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,15,Saint-Hubert-de-Rivière-du-Loup,17,27,26,1,0,2,73,255
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,16,Saint-Hubert-de-Rivière-du-Loup,14,50,45,10,1,2,122,413
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,17,Saint-Georges-de-Cacouna,11,75,87,8,6,0,187,453
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,18,Saint-Georges-de-Cacouna,6,34,42,5,2,0,89,227
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,19,Saint-Georges-de-Cacouna,8,56,53,13,2,1,133,356
