Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diana Dilworth,Fin Donnelly,Rebecca Helps,Ken Beck Lee,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,1,Port Moody,47,26,6,13,1,93,496
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,2,Port Moody,31,87,9,4,0,131,452
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,3,Port Moody,61,75,9,8,0,153,506
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,4,Port Moody,Void/Supprimé,,,,,,
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,5,Port Moody,64,72,13,7,0,156,369
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,6,Port Moody,48,67,9,11,0,135,432
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,7,Port Moody,12,54,7,8,0,81,340
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,8,Port Moody,39,77,3,6,0,125,354
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,9,Port Moody,81,83,5,7,0,176,388
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,10,Port Moody,42,67,7,6,0,122,358
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,11,Port Moody,55,73,4,6,0,138,349
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,12,Port Moody,42,73,15,6,0,136,448
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,13,Port Moody,31,45,5,3,0,84,469
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,14,Port Moody,27,48,11,5,0,91,480
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,15,Port Moody,24,57,6,4,2,93,375
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,16,Port Moody,21,39,6,6,0,72,309
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,17,Port Moody,21,42,2,3,0,68,315
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,18,Port Moody,21,56,2,8,0,87,532
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,19,Port Moody,27,55,15,13,0,110,551
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 19-1,Port Moody,2,8,3,0,0,13,54
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 19-2A,Port Moody,29,14,3,3,0,49,344
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 19-2B,Port Moody,13,14,3,3,0,33,294
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 19-3,Port Moody,8,31,1,5,0,45,369
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,20,Port Moody,34,38,24,4,0,100,492
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,21,Port Moody,34,40,0,7,0,81,528
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 21-1A,Port Moody,28,24,0,2,0,54,333
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 21-1B,Port Moody,25,17,4,0,0,46,255
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,22,Coquitlam,Void/Supprimé,,,,,,
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,23,Coquitlam,Void/Supprimé,,,,,,
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,24,Coquitlam,32,63,7,9,0,111,445
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,25,Coquitlam,19,42,2,6,0,69,390
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,26,Coquitlam,58,54,2,6,0,120,489
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,27,Coquitlam,38,46,2,5,0,91,424
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,28,Coquitlam,37,48,1,17,0,103,481
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,29,Coquitlam,Void/Supprimé,,,,,,
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,30,Coquitlam,Void/Supprimé,,,,,,
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,31,Coquitlam,18,48,6,8,0,80,369
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 32A,Coquitlam,23,47,0,7,1,78,356
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 32B,Coquitlam,20,36,2,3,3,64,243
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 33A,Coquitlam,15,36,1,6,0,58,329
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 33B,Coquitlam,16,34,2,4,3,59,290
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,34,Coquitlam,20,40,3,6,0,69,377
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,35,Coquitlam,37,34,4,9,0,84,348
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,36,Coquitlam,43,51,8,9,0,111,392
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,37,Coquitlam,59,74,14,12,0,159,531
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,38,Coquitlam,Void/Supprimé,,,,,,
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,39,Coquitlam,40,50,1,15,1,107,453
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,40,Coquitlam,59,27,1,24,0,111,463
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,41,Coquitlam,58,40,0,6,0,104,485
