Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dorian Baxter,Kevin Bordian,Leslie Bory,Paolo Fabrizio,Julian Fantino,Tony Genco,Brian Jedan,Claudia Rodriguez-Larrain,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35096,"Vaughan/Vaughan"," 1","Vaughan",0,1,0,0,109,48,1,1,0,160,545
35096,"Vaughan/Vaughan"," 2","Vaughan",0,2,0,1,75,55,0,6,1,140,588
35096,"Vaughan/Vaughan"," 3","Vaughan",0,0,0,0,53,25,0,0,0,78,281
35096,"Vaughan/Vaughan"," 4","Vaughan",0,0,0,0,84,32,0,2,0,118,422
35096,"Vaughan/Vaughan"," 5","Vaughan",0,0,0,2,42,27,0,0,0,71,527
35096,"Vaughan/Vaughan"," 6","Vaughan",0,1,0,0,50,36,0,1,1,89,479
35096,"Vaughan/Vaughan"," 7","Vaughan",0,0,0,0,48,30,0,0,0,78,499
35096,"Vaughan/Vaughan"," 8","Vaughan",0,4,0,1,58,41,0,2,0,106,679
35096,"Vaughan/Vaughan"," 9","Vaughan",1,4,1,0,48,35,0,3,0,92,514
35096,"Vaughan/Vaughan"," 10","Vaughan",0,3,0,1,44,47,1,3,0,99,683
35096,"Vaughan/Vaughan"," 11A","Vaughan",0,2,1,0,38,26,0,0,0,67,390
35096,"Vaughan/Vaughan"," 11B","Vaughan",0,1,0,2,41,29,0,0,0,73,439
35096,"Vaughan/Vaughan"," 11C","Vaughan",1,1,2,0,57,25,0,0,0,86,441
35096,"Vaughan/Vaughan"," 12A","Vaughan",0,2,0,0,29,13,0,2,0,46,367
35096,"Vaughan/Vaughan"," 12B","Vaughan",2,0,0,0,54,24,0,1,0,81,402
35096,"Vaughan/Vaughan"," 13A","Vaughan",0,1,0,0,29,21,1,3,0,55,423
35096,"Vaughan/Vaughan"," 13B","Vaughan",0,1,0,0,49,24,0,3,0,77,474
35096,"Vaughan/Vaughan"," 14","Vaughan",1,5,0,0,53,32,1,2,0,94,509
35096,"Vaughan/Vaughan"," 15","Vaughan",0,4,0,2,38,22,0,0,1,67,550
