Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jerome Dondo,Denise Harder,Christopher Scott Sarna,Robert Sopuck,Kate Storey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 1","Barrows",0,27,5,8,1,1,42,122
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 2","Mafeking",1,13,2,26,0,0,42,241
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 3","Pelican Rapids",1,37,1,0,2,0,41,414
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 4","Birch River",1,5,6,41,1,0,54,270
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 5","Birch River",0,9,2,21,3,0,35,260
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 6","Bowsman",0,24,2,55,1,0,82,312
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 7","Bowsman",1,10,1,34,2,0,48,262
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 8","Big Woody",0,12,0,21,2,0,35,158
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 9","Swan River",0,29,10,54,0,0,93,295
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 10","Swan River",0,25,3,42,3,3,76,343
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 11","Swan River",1,32,5,69,2,0,109,722
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 12","Swan River",1,20,10,106,6,0,143,463
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 13","Swan River",2,16,1,31,0,0,50,220
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 14","Swan River",2,19,5,40,4,1,71,271
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 15","Swan River",0,23,4,54,5,1,87,310
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 16","Swan River",3,24,7,46,6,0,86,356
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 17","Swan River",0,16,6,32,1,0,55,264
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 18","Swan River",0,9,4,60,6,0,79,329
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 19","Minitonas",0,10,5,45,3,0,63,218
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 20","Minitonas",1,17,8,97,8,2,133,399
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 21","Minitonas",1,15,6,54,5,0,81,224
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 21-1","Cowan",0,6,0,35,1,0,42,104
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 22","Swan River",0,17,4,24,3,0,48,173
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 23","Benito",0,9,6,33,2,0,50,336
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 24","Kenville",2,20,5,59,3,0,89,347
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 25","Durban",0,8,5,34,2,0,49,237
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 26","Duck Bay",0,43,4,4,0,0,51,347
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 27","Camperville",0,50,19,7,1,1,78,529
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 28A","Pine Creek 66A",0,11,7,7,0,0,25,57
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 28B","Pine Creek 66A",0,20,2,0,0,0,22,65
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 28C","Pine Creek 66A",0,10,7,1,1,0,19,51
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 29","Pine River",2,12,7,19,3,0,43,203
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 30","Winnipegosis",0,20,4,56,2,0,82,250
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 31","Winnipegosis",2,25,9,33,1,1,71,255
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 32","Winnipegosis",2,26,7,24,1,0,60,242
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 33","Mink Creek",3,37,3,26,5,0,74,219
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 34","Ethelbert",2,57,4,41,8,0,112,287
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 35","Fork River",0,26,0,37,0,0,63,223
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 36","San Clara",0,12,12,33,4,0,61,279
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 37","Zelena",0,11,3,27,6,0,47,203
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 38","Roblin",0,1,1,23,4,0,29,224
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 39","Roblin",0,17,8,36,4,1,66,279
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 40","Roblin",2,16,3,22,4,0,47,214
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 41","Roblin",3,17,3,52,7,0,82,490
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 42","Roblin",0,18,6,52,18,3,97,317
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 43","Roblin",Void/Supprimé,,,,,,,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 44","Bield",0,5,1,21,1,0,28,215
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 45","Valley River 63A",0,36,1,0,0,0,37,150
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 46","Shell Valley--Dropmore",2,10,8,48,10,0,78,425
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 47","Grandview",1,20,5,41,17,0,84,256
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 48","Grandview",0,46,6,49,16,2,119,407
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 49","Grandview",0,27,5,43,16,0,91,278
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 50","Drifting River",0,19,7,44,8,1,79,239
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 51","Gilbert Plains",2,32,9,54,16,0,113,432
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 52","Gilbert Plains",0,18,7,30,9,2,66,173
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 53","Birchview",0,28,4,29,12,0,73,285
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 54","Ashville",0,16,10,30,8,0,64,242
