Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Chief,Jeff Coleman,John T. Harvie,Julie C. Javier,Frank Komarniski,Kevin Lamoureux,Eric Truijen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46012,"Winnipeg North/Winnipeg-Nord"," 1","Winnipeg",31,2,1,4,0,85,0,0,123,568
46012,"Winnipeg North/Winnipeg-Nord"," 2","Winnipeg",22,0,0,11,0,58,0,0,91,383
46012,"Winnipeg North/Winnipeg-Nord"," 3","Winnipeg",56,0,1,10,0,84,0,0,151,362
46012,"Winnipeg North/Winnipeg-Nord"," 4","Winnipeg",36,1,1,17,0,131,0,0,186,473
46012,"Winnipeg North/Winnipeg-Nord"," 5","Winnipeg",34,0,0,2,0,95,0,1,132,374
46012,"Winnipeg North/Winnipeg-Nord"," 6","Winnipeg",37,2,0,26,0,90,1,0,156,416
46012,"Winnipeg North/Winnipeg-Nord"," 7","Winnipeg",23,1,1,12,0,76,0,1,114,462
46012,"Winnipeg North/Winnipeg-Nord"," 8","Winnipeg",35,0,0,7,0,100,0,0,142,431
46012,"Winnipeg North/Winnipeg-Nord"," 9","Winnipeg",30,0,1,2,0,41,0,0,74,383
46012,"Winnipeg North/Winnipeg-Nord"," 10","Winnipeg",37,1,0,11,0,70,0,0,119,440
46012,"Winnipeg North/Winnipeg-Nord"," 11","Winnipeg",27,0,0,20,0,101,0,1,149,468
46012,"Winnipeg North/Winnipeg-Nord"," 12","Winnipeg",31,1,0,8,1,90,0,3,134,440
46012,"Winnipeg North/Winnipeg-Nord"," 13","Winnipeg",18,1,0,9,0,111,0,1,140,473
46012,"Winnipeg North/Winnipeg-Nord"," 14","Winnipeg",25,1,0,10,0,130,0,0,166,454
46012,"Winnipeg North/Winnipeg-Nord"," 15","Winnipeg",29,0,0,3,1,103,0,1,137,407
46012,"Winnipeg North/Winnipeg-Nord"," 16","Winnipeg",34,2,2,12,0,113,0,1,164,528
46012,"Winnipeg North/Winnipeg-Nord"," 17","Winnipeg",23,0,0,11,1,80,1,0,116,399
46012,"Winnipeg North/Winnipeg-Nord"," 18","Winnipeg",30,0,0,6,0,85,2,0,123,408
46012,"Winnipeg North/Winnipeg-Nord"," 19","Winnipeg",32,0,0,6,0,102,0,0,140,422
46012,"Winnipeg North/Winnipeg-Nord"," 20","Winnipeg",22,1,0,14,0,59,1,0,97,377
46012,"Winnipeg North/Winnipeg-Nord"," 21","Winnipeg",15,0,0,12,0,95,0,1,123,413
46012,"Winnipeg North/Winnipeg-Nord"," 22","Winnipeg",17,0,1,12,0,99,0,0,129,428
46012,"Winnipeg North/Winnipeg-Nord"," 23","Winnipeg",9,0,0,4,0,48,0,0,61,285
46012,"Winnipeg North/Winnipeg-Nord"," 24","Winnipeg",39,0,1,4,0,103,0,0,147,418
46012,"Winnipeg North/Winnipeg-Nord"," 25","Winnipeg",26,1,0,13,0,71,0,0,111,376
46012,"Winnipeg North/Winnipeg-Nord"," 26","Winnipeg",7,0,0,6,0,32,0,0,45,222
46012,"Winnipeg North/Winnipeg-Nord"," 27","Winnipeg",38,0,0,24,0,47,0,0,109,406
46012,"Winnipeg North/Winnipeg-Nord"," 28","Winnipeg",50,0,1,2,0,32,0,0,85,339
