Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dorian Baxter,Leslie Bory,Grant Gordon,Brian Jedan,Andrew Keyes,Adriana Mugnatto-Hamu,Christopher Robert Porter,John Christopher Recker,Craig Scott,John C. Turmel,Bahman Yazdanfar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35094,"Toronto--Danforth/Toronto--Danforth"," 1","East York",0,0,45,0,19,1,0,0,48,0,0,0,113,347
35094,"Toronto--Danforth/Toronto--Danforth"," 2","East York",3,0,52,0,23,0,2,2,92,0,0,0,174,464
35094,"Toronto--Danforth/Toronto--Danforth"," 3","East York",0,0,50,0,13,14,0,0,86,0,0,0,163,441
35094,"Toronto--Danforth/Toronto--Danforth"," 4","East York",0,0,47,0,13,1,0,0,64,0,0,0,125,368
35094,"Toronto--Danforth/Toronto--Danforth"," 5","East York",2,0,51,0,6,5,0,1,67,2,0,1,135,405
35094,"Toronto--Danforth/Toronto--Danforth"," 6","East York",0,1,42,0,9,5,0,0,59,0,0,0,116,363
35094,"Toronto--Danforth/Toronto--Danforth"," 7","East York",2,0,28,1,10,7,0,0,51,1,1,0,101,365
35094,"Toronto--Danforth/Toronto--Danforth"," 8","East York",1,1,64,0,6,10,2,1,106,0,1,2,194,556
35094,"Toronto--Danforth/Toronto--Danforth"," 9","East York",3,0,16,0,9,2,0,1,56,0,0,1,88,244
35094,"Toronto--Danforth/Toronto--Danforth"," 10","East York",1,1,42,0,22,6,0,4,86,0,0,1,163,276
35094,"Toronto--Danforth/Toronto--Danforth"," 11","East York",2,0,15,0,7,9,0,1,74,0,0,2,110,446
35094,"Toronto--Danforth/Toronto--Danforth"," 12","East York",0,0,46,0,26,4,1,1,82,0,1,2,163,609
35094,"Toronto--Danforth/Toronto--Danforth"," 13","East York",2,2,19,0,11,5,0,0,36,0,0,1,76,226
35094,"Toronto--Danforth/Toronto--Danforth"," 14","East York",1,1,14,0,10,4,0,2,68,1,0,0,101,502
35094,"Toronto--Danforth/Toronto--Danforth"," 15","East York",Void/Supprimé,,,,,,,,,,,,,
35094,"Toronto--Danforth/Toronto--Danforth"," 16","East York",0,0,32,0,20,8,2,0,100,0,0,0,162,694
35094,"Toronto--Danforth/Toronto--Danforth"," 17","East York",0,0,33,0,8,1,0,0,61,0,0,0,103,434
35094,"Toronto--Danforth/Toronto--Danforth"," 18","East York",3,0,30,0,9,16,1,0,66,3,0,0,128,370
35094,"Toronto--Danforth/Toronto--Danforth"," 19","East York",1,0,41,0,18,10,0,0,85,0,0,0,155,437
35094,"Toronto--Danforth/Toronto--Danforth"," 20","East York",0,0,63,0,25,4,0,0,61,0,0,1,154,414
35094,"Toronto--Danforth/Toronto--Danforth"," 21","East York",0,0,65,0,22,12,3,0,82,0,0,1,185,426
35094,"Toronto--Danforth/Toronto--Danforth"," 22","East York",0,0,54,0,25,7,0,1,66,0,0,0,153,389
35094,"Toronto--Danforth/Toronto--Danforth"," 23","East York",1,0,56,0,10,3,1,1,63,0,0,0,135,413
35094,"Toronto--Danforth/Toronto--Danforth"," 24","East York",4,0,55,0,18,3,1,1,72,0,1,0,155,405
35094,"Toronto--Danforth/Toronto--Danforth"," 25","East York",2,1,47,0,12,6,1,0,98,0,0,5,172,392
35094,"Toronto--Danforth/Toronto--Danforth"," 26","East York",0,0,38,0,12,3,0,0,73,0,0,3,129,344
35094,"Toronto--Danforth/Toronto--Danforth"," 27","East York",0,1,59,1,18,4,0,0,76,0,0,3,162,400
35094,"Toronto--Danforth/Toronto--Danforth"," 28","East York",1,0,38,0,16,4,0,1,53,0,0,1,114,321
35094,"Toronto--Danforth/Toronto--Danforth"," 29","East York",0,2,45,1,9,5,0,0,45,0,0,0,107,340
35094,"Toronto--Danforth/Toronto--Danforth"," 30","East York",1,1,47,0,21,1,1,0,88,0,0,0,160,411
35094,"Toronto--Danforth/Toronto--Danforth"," 31","East York",2,1,41,0,10,9,0,0,68,0,0,0,131,341
35094,"Toronto--Danforth/Toronto--Danforth"," 32","East York",0,0,62,2,11,6,0,0,89,0,0,0,170,443
35094,"Toronto--Danforth/Toronto--Danforth"," 33","East York",0,1,50,0,2,9,1,0,92,0,0,1,156,353
35094,"Toronto--Danforth/Toronto--Danforth"," 34","East York",0,0,71,2,14,19,1,1,95,1,0,1,205,512
35094,"Toronto--Danforth/Toronto--Danforth"," 35","East York",1,0,46,0,10,6,0,3,134,0,0,1,201,443
35094,"Toronto--Danforth/Toronto--Danforth"," 36","East York",1,0,53,0,11,9,0,1,102,0,2,3,182,398
35094,"Toronto--Danforth/Toronto--Danforth"," 37","East York",1,0,63,0,8,3,0,0,101,1,0,0,177,422
35094,"Toronto--Danforth/Toronto--Danforth"," 38","East York",1,2,31,1,1,3,0,0,73,0,0,0,112,378
35094,"Toronto--Danforth/Toronto--Danforth"," 39","East York",0,0,17,0,13,2,0,0,39,0,0,0,71,326
35094,"Toronto--Danforth/Toronto--Danforth"," 40","East York",0,0,23,1,8,3,0,0,75,0,0,0,110,401
35094,"Toronto--Danforth/Toronto--Danforth"," 41","East York",0,0,15,1,2,1,0,0,34,0,0,0,53,234
35094,"Toronto--Danforth/Toronto--Danforth"," 42","East York",0,0,38,0,12,5,0,0,89,0,0,0,144,450
35094,"Toronto--Danforth/Toronto--Danforth"," 43","East York",0,0,26,0,4,4,0,0,73,0,0,0,107,342
35094,"Toronto--Danforth/Toronto--Danforth"," 44","East York",0,0,8,0,5,3,0,0,47,0,0,1,64,261
35094,"Toronto--Danforth/Toronto--Danforth"," 45","East York",1,1,30,0,5,1,0,0,74,0,0,2,114,374
35094,"Toronto--Danforth/Toronto--Danforth"," 46","East York",3,2,67,1,17,2,1,4,134,2,0,6,239,501
35094,"Toronto--Danforth/Toronto--Danforth"," 47","East York",0,2,22,0,9,1,1,0,62,0,0,0,97,308
35094,"Toronto--Danforth/Toronto--Danforth"," 48","East York",1,0,31,0,9,6,0,1,59,0,0,0,107,369
35094,"Toronto--Danforth/Toronto--Danforth"," 49","East York",0,1,30,0,6,3,0,0,74,1,0,0,115,354
35094,"Toronto--Danforth/Toronto--Danforth"," 50","East York",0,0,37,0,7,9,0,0,45,0,0,0,98,305
35094,"Toronto--Danforth/Toronto--Danforth"," 51","East York",0,0,48,0,14,7,0,2,70,0,1,0,142,324
35094,"Toronto--Danforth/Toronto--Danforth"," 52","East York",4,1,73,0,12,14,0,0,116,1,1,4,226,488
35094,"Toronto--Danforth/Toronto--Danforth"," 53","East York",3,1,28,0,9,8,2,1,65,0,0,0,117,377
35094,"Toronto--Danforth/Toronto--Danforth"," 54","East York",1,2,47,0,9,3,0,0,63,0,0,2,127,354
35094,"Toronto--Danforth/Toronto--Danforth"," 55","East York",1,1,36,0,2,1,2,3,75,0,0,0,121,349
35094,"Toronto--Danforth/Toronto--Danforth"," 56","East York",5,0,46,0,5,4,0,1,82,0,0,1,144,420
35094,"Toronto--Danforth/Toronto--Danforth"," 57","East York",0,0,36,3,8,6,0,0,65,1,0,0,119,416
