Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Virginia Ervin,Grant Humes,Andrew Moriarity,Michael Nicula,Larry O'Connor,Erin O'Toole,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35014,"Durham/Durham"," 1","Uxbridge",8,23,1,0,37,58,0,127,392
35014,"Durham/Durham"," 1-1","Uxbridge",3,12,1,2,44,87,2,151,445
35014,"Durham/Durham"," 2","Uxbridge",6,20,5,0,25,66,0,122,436
35014,"Durham/Durham"," 3","Uxbridge",3,17,5,0,29,66,0,120,390
35014,"Durham/Durham"," 4","Uxbridge",1,7,3,0,16,47,0,74,319
35014,"Durham/Durham"," 5","Uxbridge",11,15,2,1,34,49,1,113,370
35014,"Durham/Durham"," 5-1","Uxbridge",8,6,2,1,20,36,0,73,356
35014,"Durham/Durham"," 6","Uxbridge",6,20,2,1,24,62,0,115,422
35014,"Durham/Durham"," 7","Uxbridge",5,20,0,0,25,45,0,95,460
35014,"Durham/Durham"," 8","Uxbridge",3,29,2,1,15,55,0,105,412
35014,"Durham/Durham"," 9","Uxbridge",6,32,0,0,28,51,1,118,471
35014,"Durham/Durham"," 10","Uxbridge",7,27,1,1,31,65,0,132,448
35014,"Durham/Durham"," 11","Uxbridge",9,39,3,0,22,81,0,154,459
35014,"Durham/Durham"," 12","Uxbridge",7,38,1,2,19,74,0,141,433
35014,"Durham/Durham"," 12-1","Uxbridge",5,33,0,0,19,48,0,105,366
35014,"Durham/Durham"," 13","Uxbridge",12,45,3,0,41,54,0,155,442
35014,"Durham/Durham"," 14","Uxbridge",9,31,2,1,33,62,0,138,473
35014,"Durham/Durham"," 14-1","Uxbridge",1,27,0,0,29,77,0,134,474
35014,"Durham/Durham"," 15","Uxbridge",9,25,0,0,51,99,1,185,508
35014,"Durham/Durham"," 16","Uxbridge",9,31,1,0,24,91,0,156,481
35014,"Durham/Durham"," 17","Uxbridge",3,48,1,1,28,89,0,170,522
