Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joan Crockatt,Antoni Grochowski,Harvey Locke,Dan Meades,Tony Prashad,Chris Turner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48006,"Calgary Centre/Calgary-Centre"," 1","Calgary",37,0,14,5,0,25,1,82,353
48006,"Calgary Centre/Calgary-Centre"," 2","Calgary",64,0,37,5,0,34,1,141,386
48006,"Calgary Centre/Calgary-Centre"," 3","Calgary",47,0,26,6,0,34,0,113,357
48006,"Calgary Centre/Calgary-Centre"," 4","Calgary",19,0,8,0,0,10,0,37,285
48006,"Calgary Centre/Calgary-Centre"," 5","Calgary",27,0,17,2,2,15,0,63,375
48006,"Calgary Centre/Calgary-Centre"," 6","Calgary",34,0,9,6,0,14,0,63,265
48006,"Calgary Centre/Calgary-Centre"," 7","Calgary",51,2,26,2,0,25,0,106,320
48006,"Calgary Centre/Calgary-Centre"," 8","Calgary",55,1,37,2,3,29,0,127,351
48006,"Calgary Centre/Calgary-Centre"," 9","Calgary",43,1,13,4,0,23,2,86,338
48006,"Calgary Centre/Calgary-Centre"," 10","Calgary",33,1,28,12,0,17,0,91,406
48006,"Calgary Centre/Calgary-Centre"," 11","Calgary",31,1,17,9,0,11,0,69,362
48006,"Calgary Centre/Calgary-Centre"," 12","Calgary",26,1,9,5,2,25,2,70,295
48006,"Calgary Centre/Calgary-Centre"," 13","Calgary",25,0,16,3,0,14,1,59,392
48006,"Calgary Centre/Calgary-Centre"," 14","Calgary",11,0,3,2,0,5,0,21,208
48006,"Calgary Centre/Calgary-Centre"," 15","Calgary",73,0,26,0,0,29,0,128,407
48006,"Calgary Centre/Calgary-Centre"," 16","Calgary",61,0,47,3,2,51,1,165,477
48006,"Calgary Centre/Calgary-Centre"," 17","Calgary",42,1,30,3,0,25,1,102,386
48006,"Calgary Centre/Calgary-Centre"," 18","Calgary",57,0,29,3,0,26,0,115,358
48006,"Calgary Centre/Calgary-Centre"," 19","Calgary",86,2,45,4,0,31,0,168,417
48006,"Calgary Centre/Calgary-Centre"," 20","Calgary",69,2,21,1,0,23,0,116,324
