Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Donald Galloway,Dale Gann,Art Lowe,Philip G. Ney,Murray Rankin,Paul Summerville,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59035,"Victoria/Victoria"," 1","Victoria",29,18,1,1,47,15,0,111,495
59035,"Victoria/Victoria"," 2","Victoria",22,21,0,0,20,11,1,75,246
59035,"Victoria/Victoria"," 3","Victoria",56,13,0,1,68,23,0,161,488
59035,"Victoria/Victoria"," 4","Victoria",52,5,1,0,69,12,0,139,402
59035,"Victoria/Victoria"," 5","Victoria",84,13,3,1,71,16,0,188,545
59035,"Victoria/Victoria"," 6","Victoria",92,15,1,0,80,20,0,208,590
59035,"Victoria/Victoria"," 7","Victoria",42,8,0,0,37,9,0,96,389
59035,"Victoria/Victoria"," 8","Victoria",41,11,2,1,41,14,0,110,448
59035,"Victoria/Victoria"," 9","Victoria",41,63,0,0,35,42,0,181,494
59035,"Victoria/Victoria"," 10","Victoria",87,27,0,1,121,19,1,256,958
59035,"Victoria/Victoria"," 11","Victoria",40,66,1,1,47,53,3,211,614
59035,"Victoria/Victoria"," 12","Victoria",37,19,0,3,70,6,0,135,493
59035,"Victoria/Victoria"," 13","Victoria",21,7,0,0,11,10,0,49,151
59035,"Victoria/Victoria"," 14","Victoria",45,8,0,0,45,14,0,112,496
59035,"Victoria/Victoria"," 15","Victoria",25,15,0,0,32,6,0,78,551
59035,"Victoria/Victoria"," 16","Victoria",40,13,0,1,49,12,0,115,479
59035,"Victoria/Victoria"," 17","Victoria",25,3,1,0,30,2,0,61,458
59035,"Victoria/Victoria"," 18","Victoria",36,18,2,2,51,15,0,124,484
59035,"Victoria/Victoria"," 19A","Victoria",51,11,1,1,56,14,0,134,475
59035,"Victoria/Victoria"," 19B","Victoria",5,3,2,0,17,11,0,38,293
59035,"Victoria/Victoria"," 20","Victoria",66,15,1,1,53,11,1,148,479
59035,"Victoria/Victoria"," 21","Victoria",21,4,0,1,40,12,1,79,364
59035,"Victoria/Victoria"," 22","Victoria",56,6,1,1,44,3,0,111,360
59035,"Victoria/Victoria"," 23","Victoria",54,3,0,0,47,14,0,118,407
59035,"Victoria/Victoria"," 24","Victoria",17,5,0,1,21,2,0,46,307
59035,"Victoria/Victoria"," 25","Victoria",33,9,0,0,35,8,1,86,471
59035,"Victoria/Victoria"," 26","Victoria",20,2,1,1,37,2,0,63,345
59035,"Victoria/Victoria"," 27","Victoria",64,3,0,0,34,5,1,107,346
59035,"Victoria/Victoria"," 28","Victoria",55,4,1,2,64,13,0,139,468
59035,"Victoria/Victoria"," 29","Victoria",72,20,0,1,61,19,0,173,532
59035,"Victoria/Victoria"," 30","Victoria",48,7,0,0,27,11,0,93,276
59035,"Victoria/Victoria"," 31","Victoria",65,31,3,0,81,13,0,193,489
