Electoral District Number,Electoral District Name,Polling Station Number,Polling Station Name,Norman Andrews,Harry Borlase,Yvonne Jones,Peter Penashue,Rejected Ballots,Total Votes,Electors
10004,Labrador,1,Nain,1,61,93,35,2,192,320
10004,Labrador,2,Nain,1,89,115,35,0,240,471
10004,Labrador,3,Natuashish,0,1,10,61,1,73,434
10004,Labrador,4,Hopedale,0,30,91,95,0,216,413
10004,Labrador,5,Postville,1,13,43,21,1,79,146
10004,Labrador,6,Makkovik,0,47,108,21,0,176,279
10004,Labrador,7,Wabush,0,45,99,32,0,176,383
10004,Labrador, 8A,Labrador City,1,46,77,35,0,159,291
10004,Labrador, 8B,Mobile poll,Merged with No. 13B,,,,,,6
10004,Labrador,9,Labrador City,0,59,79,17,0,155,411
10004,Labrador,10,Labrador City,0,61,96,34,0,191,392
10004,Labrador,11,Labrador City,1,44,71,22,0,138,266
10004,Labrador,12,Labrador City,0,41,75,28,2,146,309
10004,Labrador, 13A,Labrador City,0,63,105,26,0,194,448
10004,Labrador, 13B,Mobile poll,0,10,24,9,0,43,89
10004,Labrador,14,Labrador City,2,54,52,12,0,120,300
10004,Labrador,15,Labrador City,0,49,64,25,0,138,298
10004,Labrador,16,Labrador City,1,52,89,23,0,165,288
10004,Labrador,17,Labrador City,1,36,71,22,0,130,271
10004,Labrador,18,Labrador City,1,34,66,26,0,127,293
10004,Labrador,19,Labrador City,0,42,88,24,0,154,310
10004,Labrador,20,Labrador City,0,68,76,20,0,164,316
10004,Labrador,21,Labrador City,1,74,106,26,0,207,569
10004,Labrador,22,Labrador City,0,51,50,17,0,118,229
10004,Labrador,23,Labrador City,0,46,50,20,0,116,226
10004,Labrador,24,Labrador City,0,69,91,22,0,182,511
10004,Labrador,25,Wabush,0,59,88,23,0,170,310
10004,Labrador,26,Wabush,0,44,72,21,0,137,297
10004,Labrador,27,Wabush,3,94,110,49,0,256,541
10004,Labrador,28,Churchill Falls,0,19,38,16,0,73,189
10004,Labrador,29,Churchill Falls,0,18,71,29,0,118,252
10004,Labrador,30,Rigolet,1,18,77,34,0,130,216
10004,Labrador,31,North West River,0,36,85,106,0,227,411
10004,Labrador, 32A,Sheshatsheits,0,2,14,296,2,314,500
10004,Labrador, 32B,Sheshatsheits,0,1,3,286,0,290,404
10004,Labrador,33,Mud Lake,0,5,20,5,0,30,42
10004,Labrador,34,Happy Valley-Goose Bay,0,29,39,60,0,128,369
10004,Labrador, 35A,Happy Valley-Goose Bay,0,27,52,42,0,121,218
10004,Labrador, 35B,Mobile poll,Merged with No. 500,,,,,,17
10004,Labrador,36,Happy Valley-Goose Bay,0,43,81,128,0,252,437
10004,Labrador, 37A,Happy Valley-Goose Bay,0,32,83,108,0,223,363
10004,Labrador, 37B,Happy Valley-Goose Bay,0,21,72,108,0,201,351
10004,Labrador,38,Happy Valley-Goose Bay,1,39,92,74,1,207,391
10004,Labrador,39,Happy Valley-Goose Bay,0,54,118,142,3,317,596
10004,Labrador,40,Happy Valley-Goose Bay,5,34,85,95,0,219,429
10004,Labrador,41,Happy Valley-Goose Bay,3,27,74,63,1,168,290
10004,Labrador,42,Happy Valley-Goose Bay,1,41,55,61,1,159,329
10004,Labrador, 43A,Happy Valley-Goose Bay,0,41,66,85,1,193,514
10004,Labrador, 43B,Mobile poll,Merged with No. 500,,,,,,38
10004,Labrador,44,Happy Valley-Goose Bay,1,27,63,37,0,128,316
10004,Labrador,45,Happy Valley-Goose Bay,0,25,81,64,0,170,313
10004,Labrador,46,Happy Valley-Goose Bay,1,32,73,114,2,222,404
10004,Labrador,47,Happy Valley-Goose Bay,0,42,82,76,0,200,333
10004,Labrador,48,Happy Valley-Goose Bay,0,22,52,69,1,144,285
10004,Labrador,49,Cartwright,2,12,171,12,0,197,426
10004,Labrador,50,Paradise River,Void,,,,,,
10004,Labrador,51,Black Tickle,0,2,26,33,0,61,133
10004,Labrador,52,Norman's Bay,3,2,8,3,0,16,23
10004,Labrador,53,Charlottetown,0,2,95,15,0,112,248
10004,Labrador,54,Pinsent Arm,0,1,30,2,0,33,39
10004,Labrador,55,Williams Harbour,0,1,7,0,0,8,23
10004,Labrador,56,St. Lewis,1,5,92,8,1,107,164
10004,Labrador,57,Port Hope Simpson,1,8,136,28,1,174,344
10004,Labrador,58,Mary's Harbour,1,11,102,14,0,128,291
10004,Labrador,59,Lodge Bay,0,0,32,4,0,36,70
10004,Labrador,60,Red Bay,0,3,49,30,0,82,171
10004,Labrador,61,Pinware,0,1,30,9,0,40,67
10004,Labrador,62,West St. Modeste,0,2,58,21,0,81,168
10004,Labrador,63,L'Anse-au-Loup,1,3,90,70,0,164,481
10004,Labrador, 64A,Forteau,1,3,113,48,0,165,316
10004,Labrador, 64B,Mobile poll,Merged with No. 501,,,,,,14
10004,Labrador,65,L'Anse-au-Clair,1,4,61,36,1,103,167
10004,Labrador,500,Mobile poll,3,8,16,6,0,33,8
10004,Labrador,501,Mobile poll,1,0,26,0,0,27,20
10004,Labrador,600,Nain,0,15,7,9,0,31,
10004,Labrador,601,Natuashish,1,1,3,99,0,104,
10004,Labrador,602,Hopedale,0,2,7,4,0,13,
10004,Labrador,603,Postville,0,3,3,5,0,11,
10004,Labrador,604,Makkovik,0,0,10,2,0,12,
10004,Labrador,605,Rigolet,0,1,5,1,0,7,
10004,Labrador,606,Labrador City,2,78,130,31,0,241,
10004,Labrador,607,Churchill Falls,0,2,14,3,0,19,
10004,Labrador,608,Happy Valley-Goose Bay,1,57,218,159,1,436,
10004,Labrador,609,Cartwright,0,0,75,8,0,83,
10004,Labrador,610,Black Tickle,0,1,7,17,0,25,
10004,Labrador,611,Norman Bay,Combined with No. 612,,,,,,
10004,Labrador,612,Charlottetown,1,2,42,4,0,49,
10004,Labrador,613,Williams Harbour,0,2,7,1,0,10,
10004,Labrador,614,Mary's Harbour,0,2,85,11,0,98,
10004,Labrador,615,Port Hope Simpson,0,0,29,4,0,33,
10004,Labrador,616,L'Anse-au-Loup,0,3,150,52,0,205,
10004,Labrador,617,North West River,0,8,36,12,0,56,
10004,Labrador,618,Red Bay,0,1,17,7,0,25,
10004,Labrador,619,Sheshatsheits,0,2,3,97,0,102,
10004,Labrador,,Group 1,2,5,21,28,1,57,33
10004,Labrador,,Group 2,1,54,166,132,4,357,
