Electoral District Number,Electoral District Name,Polling Station Number,Polling Station Name,Emmanuel Dubourg,Daniel Duranleau,Serge Lavoie,Rida Mahmoud,Stéphane Moraille,Danny Polifroni,Rejected Ballots,Total Votes,Electors
24009,Bourassa,1,Montréal,44,6,0,0,25,2,2,79,379
24009,Bourassa,2,Montréal,23,8,0,1,23,1,0,56,422
24009,Bourassa,3,Montréal,60,12,3,10,30,1,1,117,453
24009,Bourassa,4,Montréal,58,4,1,0,22,2,1,88,466
24009,Bourassa,5,Montréal,52,4,0,1,32,4,2,95,616
24009,Bourassa,6,Montréal,37,4,0,4,25,0,0,70,439
24009,Bourassa,7,Montréal,19,8,1,2,34,2,1,67,431
24009,Bourassa,8,Montréal,41,3,0,0,12,1,0,57,417
24009,Bourassa,9,Montréal,70,5,0,0,28,7,0,110,417
24009,Bourassa,10,Montréal,74,10,0,3,19,1,1,108,424
24009,Bourassa,11,Montréal,70,4,0,3,9,1,0,87,433
24009,Bourassa, 12A,Montréal,45,1,0,1,8,0,1,56,342
24009,Bourassa, 12B,Montréal,31,0,0,0,9,0,0,40,345
24009,Bourassa,13,Montréal,34,16,0,0,49,3,2,104,419
24009,Bourassa,14,Montréal,30,19,0,8,59,1,1,118,341
24009,Bourassa,15,Montréal,29,17,1,1,48,2,1,99,424
24009,Bourassa,16,Montréal-Nord,106,49,4,12,100,2,4,277,550
24009,Bourassa, 16-1,Montréal-Nord,Void,,,,,,,,
24009,Bourassa, 16-2,Montréal-Nord,Void,,,,,,,,
24009,Bourassa, 17A,Montréal-Nord,21,11,2,1,28,1,0,64,295
24009,Bourassa, 17B,Montréal-Nord,25,12,0,2,10,2,1,52,256
24009,Bourassa, 18A,Montréal-Nord,63,17,2,3,33,2,1,121,286
24009,Bourassa, 18B,Montréal-Nord,63,22,3,4,24,2,2,120,328
24009,Bourassa, 18-1,Montréal-Nord,Void,,,,,,,,
24009,Bourassa,19,Montréal-Nord,19,2,0,2,10,2,0,35,286
24009,Bourassa,20,Montréal-Nord,29,2,0,1,17,4,1,54,398
24009,Bourassa,21,Montréal-Nord,149,27,2,4,88,0,8,278,523
24009,Bourassa,22,Montréal-Nord,56,12,1,5,41,2,1,118,278
24009,Bourassa,23,Montréal-Nord,32,3,2,2,9,0,1,49,310
24009,Bourassa, 24A,Montréal-Nord,67,9,0,8,20,2,2,108,379
24009,Bourassa, 24B,Mobile poll,Merged with No. 501,,,,,,,,12
24009,Bourassa,25,Montréal-Nord,23,8,1,0,20,2,2,56,435
24009,Bourassa,26,Montréal-Nord,71,5,0,1,45,2,1,125,414
24009,Bourassa,27,Montréal-Nord,71,13,0,5,44,4,2,139,400
24009,Bourassa,28,Montréal-Nord,43,12,0,3,21,1,1,81,404
24009,Bourassa,29,Montréal-Nord,55,4,1,4,22,3,1,90,364
24009,Bourassa,30,Montréal-Nord,40,6,1,2,27,3,1,80,511
24009,Bourassa,31,Montréal-Nord,25,12,0,2,19,1,0,59,387
24009,Bourassa,32,Montréal-Nord,22,3,0,1,19,2,1,48,329
24009,Bourassa,33,Montréal-Nord,22,6,0,5,17,2,0,52,379
24009,Bourassa,34,Montréal-Nord,12,8,0,5,22,2,1,50,375
24009,Bourassa,35,Montréal-Nord,21,5,0,1,12,1,2,42,416
24009,Bourassa,36,Montréal-Nord,23,10,0,0,9,0,0,42,443
24009,Bourassa,37,Montréal-Nord,21,6,1,0,10,1,0,39,362
24009,Bourassa,38,Montréal-Nord,16,6,0,2,12,0,1,37,294
24009,Bourassa,39,Montréal-Nord,29,0,0,2,10,0,1,42,284
24009,Bourassa,40,Montréal-Nord,19,2,0,2,9,1,1,34,332
24009,Bourassa,41,Montréal-Nord,15,6,0,0,9,2,0,32,249
24009,Bourassa,42,Montréal-Nord,27,5,0,0,17,1,0,50,340
24009,Bourassa,43,Montréal-Nord,40,12,2,2,24,3,3,86,359
24009,Bourassa,44,Montréal-Nord,36,5,2,0,23,2,1,69,375
24009,Bourassa,45,Montréal-Nord,62,7,0,0,23,1,3,96,310
24009,Bourassa,46,Montréal-Nord,59,8,1,1,18,2,1,90,388
24009,Bourassa,47,Montréal-Nord,58,7,0,4,15,1,2,87,405
24009,Bourassa,48,Montréal-Nord,25,8,2,1,11,1,0,48,372
24009,Bourassa,49,Montréal-Nord,30,6,0,5,7,1,2,51,347
24009,Bourassa,50,Montréal-Nord,30,2,3,2,16,1,0,54,374
24009,Bourassa,51,Montréal-Nord,66,1,0,3,9,3,1,83,353
24009,Bourassa,52,Montréal-Nord,60,12,1,1,19,2,0,95,340
24009,Bourassa,53,Montréal-Nord,59,3,0,5,19,2,2,90,354
24009,Bourassa,54,Montréal-Nord,31,2,0,2,13,4,0,52,284
24009,Bourassa,55,Montréal-Nord,46,5,0,4,9,0,1,65,304
24009,Bourassa,56,Montréal-Nord,50,7,0,1,34,1,2,95,379
24009,Bourassa,57,Montréal-Nord,25,9,1,0,11,2,1,49,350
24009,Bourassa,58,Montréal-Nord,45,7,0,0,8,1,1,62,347
24009,Bourassa,59,Montréal-Nord,45,6,0,1,20,0,1,73,321
24009,Bourassa,60,Montréal-Nord,52,4,0,3,16,2,0,77,432
24009,Bourassa,61,Montréal-Nord,55,3,0,8,20,3,4,93,417
24009,Bourassa,62,Montréal-Nord,54,7,0,5,22,1,1,90,384
24009,Bourassa,63,Montréal-Nord,23,13,0,5,10,0,1,52,412
24009,Bourassa,64,Montréal-Nord,54,6,0,5,26,1,2,94,406
24009,Bourassa,65,Montréal-Nord,68,6,1,11,29,0,1,116,351
24009,Bourassa,66,Montréal-Nord,51,1,0,4,27,2,2,87,387
24009,Bourassa,67,Montréal-Nord,68,18,1,2,35,6,2,132,327
24009,Bourassa,68,Montréal-Nord,60,24,1,7,56,2,3,153,362
24009,Bourassa,69,Montréal-Nord,51,8,1,0,20,4,1,85,325
24009,Bourassa,70,Montréal-Nord,67,11,1,5,43,1,0,128,436
24009,Bourassa,71,Montréal-Nord,48,40,0,3,43,1,0,135,466
24009,Bourassa,72,Montréal-Nord,24,13,0,2,33,4,2,78,281
24009,Bourassa, 72-1,Montréal-Nord,26,23,1,2,55,3,0,110,392
24009,Bourassa,73,Montréal-Nord,32,14,0,2,35,5,1,89,325
24009,Bourassa,74,Montréal-Nord,24,15,0,2,24,0,0,65,351
24009,Bourassa,75,Montréal-Nord,59,20,0,6,21,0,0,106,368
24009,Bourassa,76,Montréal-Nord,50,24,0,3,39,6,4,126,377
24009,Bourassa,77,Montréal-Nord,29,10,0,5,36,3,0,83,361
24009,Bourassa,78,Montréal-Nord,34,5,0,4,24,2,2,71,417
24009,Bourassa,79,Montréal-Nord,42,23,2,4,41,5,1,118,515
24009,Bourassa,80,Montréal-Nord,Void,,,,,,,,
24009,Bourassa,81,Montréal-Nord,5,3,0,3,13,0,0,24,228
24009,Bourassa, 81-1,Montréal-Nord,20,7,0,0,17,0,0,44,341
24009,Bourassa,82,Montréal-Nord,23,8,1,1,30,1,0,64,337
24009,Bourassa, 83A,Montréal-Nord,25,15,0,3,31,0,0,74,418
24009,Bourassa, 83B,Mobile poll,Merged with No. 502,,,,,,,,14
24009,Bourassa,84,Montréal-Nord,34,4,0,2,25,1,0,66,382
24009,Bourassa,85,Montréal-Nord,19,4,0,2,13,0,1,39,376
24009,Bourassa,86,Montréal-Nord,33,2,0,2,11,0,1,49,311
24009,Bourassa,87,Montréal-Nord,16,5,1,3,11,2,3,41,321
24009,Bourassa,88,Montréal-Nord,37,19,1,7,43,1,0,108,332
24009,Bourassa,89,Montréal-Nord,16,8,0,4,10,1,2,41,325
24009,Bourassa,90,Montréal-Nord,49,12,0,7,51,2,0,121,315
24009,Bourassa,91,Montréal-Nord,35,8,0,2,30,4,0,79,323
24009,Bourassa,92,Montréal-Nord,36,4,0,5,32,1,1,79,408
