Electoral District Number,Electoral District Name,Polling Station Number,Polling Station Name,Dorian Baxter,Leslie Bory,Kevin Clarke,John Deverell,Judi Falardeau,Chrystia Freeland,Linda McQuaig,Michael Nicula,Geoff Pollock,"John ""The Engineer"" Turmel",Bahman Yazdanfar,Rejected Ballots,Total Votes,Electors
35093,Toronto Centre,1,Toronto,4,0,0,4,0,95,57,0,19,0,0,0,179,439
35093,Toronto Centre,2,Toronto,1,0,0,6,2,133,43,0,40,0,0,1,226,514
35093,Toronto Centre,3,Toronto,4,0,0,3,0,93,32,0,23,0,0,0,155,380
35093,Toronto Centre,4,Toronto,2,0,0,3,0,52,15,0,35,0,0,0,107,398
35093,Toronto Centre,5,Toronto,3,0,0,9,0,66,29,0,33,0,0,1,141,386
35093,Toronto Centre,6,Toronto,Void,,,,,,,,,,,,,
35093,Toronto Centre,7,Toronto,1,0,0,11,1,83,18,0,24,0,0,0,138,394
35093,Toronto Centre,8,Toronto,1,0,0,9,0,110,17,0,31,1,0,1,170,430
35093,Toronto Centre,9,Toronto,Void,,,,,,,,,,,,,
35093,Toronto Centre,10,Toronto,0,0,0,6,0,81,26,0,39,1,0,0,153,389
35093,Toronto Centre,11,Toronto,2,0,0,2,0,98,12,0,35,0,0,0,149,415
35093,Toronto Centre,12,Toronto,4,0,0,2,0,80,18,0,46,1,0,0,151,418
35093,Toronto Centre,13,Toronto,1,0,1,3,0,96,15,0,28,0,0,2,146,431
35093,Toronto Centre,14,Toronto,0,0,0,7,2,62,21,0,33,0,0,0,125,453
35093,Toronto Centre,15,Toronto,2,0,0,5,0,93,41,0,34,0,0,0,175,445
35093,Toronto Centre,16,Toronto,2,0,0,4,1,74,22,0,35,0,0,0,138,399
35093,Toronto Centre,17,Toronto,0,0,0,5,0,72,17,0,41,0,1,0,136,318
35093,Toronto Centre,18,Toronto,1,0,0,4,0,98,20,0,53,0,0,0,176,407
35093,Toronto Centre,19,Toronto,1,0,0,2,0,58,15,0,32,0,0,0,108,323
35093,Toronto Centre,20,Toronto,4,0,0,5,0,73,29,0,20,0,0,1,132,325
35093,Toronto Centre,21,Toronto,2,0,0,4,0,59,26,0,20,0,0,0,111,316
35093,Toronto Centre,22,Toronto,1,0,0,4,0,74,24,0,14,0,0,0,117,301
35093,Toronto Centre,23,Toronto,4,0,0,14,0,97,23,2,25,0,0,1,166,359
35093,Toronto Centre,24,Toronto,2,0,0,1,0,61,19,0,18,0,0,0,101,267
35093,Toronto Centre,25,Toronto,3,0,0,5,0,79,24,0,19,0,0,0,130,339
35093,Toronto Centre,26,Toronto,1,0,0,3,0,117,24,0,32,0,0,0,177,498
35093,Toronto Centre, 26-1,Toronto,2,0,0,1,0,53,14,0,31,0,0,0,101,372
35093,Toronto Centre,27,Toronto,0,0,0,3,2,82,37,0,23,0,0,1,148,442
35093,Toronto Centre,28,Toronto,0,1,0,7,2,128,60,0,43,1,0,1,243,804
35093,Toronto Centre,29,Toronto,0,0,0,3,0,26,47,0,6,0,0,0,82,186
35093,Toronto Centre,30,Toronto,0,0,0,7,0,77,34,0,15,0,0,0,133,392
35093,Toronto Centre,31,Toronto,2,0,0,4,1,125,26,0,55,0,0,2,215,608
35093,Toronto Centre,32,Toronto,1,0,0,5,0,95,31,0,24,0,0,0,156,346
35093,Toronto Centre,33,Toronto,1,0,0,2,0,62,21,0,20,0,0,0,106,281
35093,Toronto Centre,34,Toronto,0,0,0,1,0,54,30,0,11,0,1,0,97,304
35093,Toronto Centre,35,Toronto,Void,,,,,,,,,,,,,
35093,Toronto Centre, 36A,Toronto,1,0,0,6,0,85,50,0,21,0,0,1,164,447
35093,Toronto Centre, 36B,Toronto,0,1,0,5,0,72,28,1,14,1,0,0,122,329
35093,Toronto Centre, 36C,Toronto,8,0,0,7,0,84,41,1,22,0,0,0,163,435
35093,Toronto Centre, 36-1,Toronto,Void,,,,,,,,,,,,,
35093,Toronto Centre,37,Toronto,Merged with No. 38,,,,,,,,,,,,,115
35093,Toronto Centre,38,Toronto,2,0,1,2,0,64,42,0,19,1,0,1,132,309
