Electoral District Number,Electoral District Name,Polling Station Number,Polling Station Name,Rolf Dinsdale,Frank William James Godon,Larry Maguire,David Michael Neufeld,Cory Szczepanski,Rejected Ballots,Total Votes,Electors
46001,Brandon--Souris,1,Kirkella,25,0,61,2,4,0,92,169
46001,Brandon--Souris, 2A,Hargrave,24,0,54,1,2,0,81,345
46001,Brandon--Souris, 2B,Hargrave,27,1,56,4,4,0,92,330
46001,Brandon--Souris,3,Kola,9,0,125,3,1,1,139,354
46001,Brandon--Souris,4,Scarth,11,1,52,1,1,0,66,174
46001,Brandon--Souris,5,Virden,52,1,105,6,2,0,166,370
46001,Brandon--Souris,6,Elkhorn,33,1,106,1,7,0,148,302
46001,Brandon--Souris,7,Virden,33,0,97,8,2,1,141,317
46001,Brandon--Souris,8,Virden,39,0,65,2,5,0,111,233
46001,Brandon--Souris,9,Virden,22,0,78,0,5,0,105,290
46001,Brandon--Souris,10,Virden,39,1,73,5,4,0,122,326
46001,Brandon--Souris,11,Virden,34,1,55,3,0,1,94,237
46001,Brandon--Souris,12,Virden,54,1,132,6,3,1,197,459
46001,Brandon--Souris,13,Kenton,69,1,84,15,5,0,174,361
46001,Brandon--Souris,14,Maskawata,25,2,35,1,1,0,64,160
46001,Brandon--Souris,15,Cromer,12,0,26,1,0,0,39,146
46001,Brandon--Souris,16,Sinclair,19,0,35,3,1,0,58,188
46001,Brandon--Souris,17,Pipestone,34,1,65,4,3,2,109,244
46001,Brandon--Souris,18,Reston,55,2,97,6,10,0,170,392
46001,Brandon--Souris,19,Oak Lake Beach,39,1,110,6,7,0,163,524
46001,Brandon--Souris,20,Oak Lake,48,3,86,7,9,1,154,354
46001,Brandon--Souris,21,Oak Lake Reserve,29,0,3,4,3,0,39,205
46001,Brandon--Souris,22,Sioux Valley,67,4,3,2,12,3,91,453
46001,Brandon--Souris,23,Bradwardine,20,1,31,1,3,0,56,106
46001,Brandon--Souris,24,Rivers,38,0,52,7,6,0,103,258
46001,Brandon--Souris,25,Levine,80,0,71,9,3,0,163,492
46001,Brandon--Souris,26,Rivers,69,2,56,8,10,0,145,308
46001,Brandon--Souris,27,Rivers,57,2,54,8,10,0,131,284
46001,Brandon--Souris,28,Forrest,36,1,51,8,7,0,103,239
46001,Brandon--Souris,29,Justice,81,1,78,9,22,0,191,453
46001,Brandon--Souris,30,Douglas,37,1,36,8,9,0,91,257
46001,Brandon--Souris,31,Brookdale,21,3,40,1,4,0,69,281
46001,Brandon--Souris,32,Wellwood,19,2,37,0,6,0,64,199
46001,Brandon--Souris,33,Shilo,Void,,,,,,,
46001,Brandon--Souris,34,Fairview,28,1,56,4,8,0,97,293
46001,Brandon--Souris,35,Melbourne,17,0,63,4,3,0,87,262
46001,Brandon--Souris,36,Carberry,56,0,70,7,17,0,150,384
46001,Brandon--Souris,37,Carberry,66,2,74,5,7,1,155,600
46001,Brandon--Souris,38,Carberry,46,2,56,8,8,0,120,340
46001,Brandon--Souris,39,Alexander,78,2,83,5,11,1,180,409
46001,Brandon--Souris,40,Kemnay,81,1,70,8,7,0,167,341
46001,Brandon--Souris,41,Brandon,117,1,121,11,14,2,266,567
46001,Brandon--Souris,42,Chater,37,0,57,6,12,0,112,427
46001,Brandon--Souris,43,Sprucewoods,83,1,75,5,17,1,182,388
46001,Brandon--Souris,44,Beresford,76,3,92,5,16,1,193,430
46001,Brandon--Souris,45,Brandon Hills,50,0,85,8,4,1,148,278
46001,Brandon--Souris, 46A,Chater,31,0,32,3,6,1,73,346
46001,Brandon--Souris, 46B,Chater,37,3,32,3,3,0,78,375
46001,Brandon--Souris,47,Brandon,186,2,142,9,16,0,355,599
46001,Brandon--Souris,48,Brandon,76,1,51,5,21,1,155,546
46001,Brandon--Souris,49,Brandon,97,0,62,7,10,1,177,417
46001,Brandon--Souris,50,Brandon,88,0,51,6,12,3,160,489
46001,Brandon--Souris,51,Brandon,45,3,43,4,17,0,112,338
46001,Brandon--Souris,52,Brandon,80,3,47,10,11,2,153,372
46001,Brandon--Souris,53,Brandon,76,2,36,2,12,0,128,313
46001,Brandon--Souris,54,Brandon,76,2,26,9,21,1,135,415
46001,Brandon--Souris,55,Brandon,65,2,29,5,21,1,123,430
46001,Brandon--Souris, 56A,Brandon,86,0,56,1,2,2,147,295
46001,Brandon--Souris, 56B,Brandon,42,0,53,1,5,2,103,120
46001,Brandon--Souris,57,Brandon,90,1,61,6,5,1,164,299
46001,Brandon--Souris,58,Brandon,109,2,57,4,16,1,189,404
46001,Brandon--Souris,59,Brandon,77,1,44,5,10,0,137,349
46001,Brandon--Souris,60,Brandon,76,1,37,4,6,0,124,328
46001,Brandon--Souris,61,Brandon,66,3,35,4,14,0,122,263
46001,Brandon--Souris,62,Brandon,74,2,41,6,9,0,132,367
46001,Brandon--Souris,63,Brandon,98,0,50,8,14,1,171,369
46001,Brandon--Souris,64,Brandon,63,0,50,10,16,0,139,273
46001,Brandon--Souris,65,Brandon,100,2,54,8,10,1,175,384
46001,Brandon--Souris,66,Brandon,120,1,42,10,20,0,193,546
46001,Brandon--Souris,67,Brandon,94,1,25,7,19,0,146,381
46001,Brandon--Souris,68,Brandon,109,1,68,8,13,4,203,506
46001,Brandon--Souris,69,Brandon,98,2,76,7,10,0,193,487
46001,Brandon--Souris,70,Brandon,87,1,93,7,5,0,193,409
46001,Brandon--Souris,71,Brandon,100,1,71,6,15,1,194,394
46001,Brandon--Souris,72,Brandon,106,2,62,7,6,2,185,362
46001,Brandon--Souris,73,Brandon,43,0,27,4,8,1,83,200
46001,Brandon--Souris,74,Brandon,58,1,28,8,8,0,103,294
46001,Brandon--Souris,75,Brandon,55,2,31,4,15,0,107,339
46001,Brandon--Souris,76,Brandon,71,1,37,8,3,0,120,295
46001,Brandon--Souris,77,Brandon,35,1,22,3,5,0,66,227
46001,Brandon--Souris,78,Brandon,73,3,38,3,11,0,128,393
46001,Brandon--Souris,79,Brandon,96,0,58,4,11,2,171,342
46001,Brandon--Souris,80,Brandon,94,1,43,4,17,0,159,370
46001,Brandon--Souris,81,Brandon,81,0,58,4,18,0,161,353
46001,Brandon--Souris,82,Brandon,58,0,37,1,8,0,104,341
46001,Brandon--Souris,83,Brandon,90,2,40,5,26,1,164,348
46001,Brandon--Souris, 84A,Brandon,96,0,69,3,14,0,182,390
46001,Brandon--Souris, 84B,Brandon,79,0,56,2,11,0,148,396
46001,Brandon--Souris,85,Brandon,110,0,59,4,7,1,181,400
46001,Brandon--Souris,86,Brandon,87,1,51,9,19,0,167,404
46001,Brandon--Souris,87,Brandon,31,0,22,0,15,1,69,249
46001,Brandon--Souris,88,Brandon,57,1,32,5,12,0,107,313
46001,Brandon--Souris,89,Brandon,149,2,76,7,31,1,266,590
46001,Brandon--Souris,90,Brandon,86,2,57,7,16,2,170,354
46001,Brandon--Souris,91,Brandon,60,0,23,7,19,1,110,292
46001,Brandon--Souris,92,Brandon,80,1,7,10,12,0,110,313
46001,Brandon--Souris,93,Brandon,51,2,20,5,12,0,90,260
46001,Brandon--Souris,94,Brandon,47,0,26,5,7,0,85,318
46001,Brandon--Souris,95,Brandon,38,0,21,4,12,0,75,287
46001,Brandon--Souris,96,Brandon,70,0,25,5,16,0,116,392
46001,Brandon--Souris,97,Brandon,57,0,46,9,13,0,125,455
46001,Brandon--Souris,98,Brandon,69,1,36,10,26,1,143,493
46001,Brandon--Souris,99,Brandon,58,2,41,3,20,0,124,399
46001,Brandon--Souris,100,Brandon,61,1,30,1,22,1,116,296
46001,Brandon--Souris,101,Brandon,56,1,44,2,9,0,112,341
46001,Brandon--Souris,102,Brandon,77,2,57,10,21,1,168,366
46001,Brandon--Souris,103,Brandon,90,3,46,10,13,0,162,343
46001,Brandon--Souris,104,Brandon,120,1,79,8,15,0,223,573
46001,Brandon--Souris,105,Brandon,95,1,62,2,9,0,169,427
46001,Brandon--Souris,106,Brandon,75,1,56,4,19,1,156,364
46001,Brandon--Souris,107,Brandon,62,0,25,5,9,0,101,420
46001,Brandon--Souris,108,Brandon,57,4,26,3,12,2,104,340
46001,Brandon--Souris, 108-1,Brandon,55,1,25,2,4,0,87,375
46001,Brandon--Souris, 109A,Brandon,115,1,64,7,16,0,203,573
46001,Brandon--Souris, 109B,Brandon,112,2,74,14,17,0,219,636
46001,Brandon--Souris,110,Brandon,69,6,41,8,25,0,149,434
46001,Brandon--Souris,111,Brandon,51,1,21,7,9,0,89,401
46001,Brandon--Souris,112,Brandon,49,0,20,2,14,0,85,270
46001,Brandon--Souris,113,Brandon,56,4,28,10,17,0,115,396
46001,Brandon--Souris,114,Brandon,70,1,21,5,15,0,112,325
46001,Brandon--Souris,115,Brandon,84,0,34,5,16,0,139,384
46001,Brandon--Souris,116,Brandon,48,1,20,3,16,0,88,308
46001,Brandon--Souris,117,Brandon,34,1,6,3,5,0,49,310
46001,Brandon--Souris, 118A,Brandon,60,0,13,13,11,0,97,221
46001,Brandon--Souris, 118B,Brandon,18,0,49,5,19,0,91,107
46001,Brandon--Souris,119,Brandon,58,0,12,10,5,0,85,309
46001,Brandon--Souris,120,Brandon,70,2,33,6,13,0,124,431
46001,Brandon--Souris,121,Brandon,73,1,25,7,10,0,116,317
46001,Brandon--Souris, 122A,Brandon,30,0,12,3,3,0,48,160
46001,Brandon--Souris, 122B,Brandon,73,3,91,4,19,2,192,228
46001,Brandon--Souris, 123A,Brandon,63,3,19,5,13,0,103,360
46001,Brandon--Souris, 123B,Brandon,43,2,58,3,10,1,117,148
46001,Brandon--Souris,124,Brandon,87,3,31,3,19,0,143,353
46001,Brandon--Souris,125,Brandon,60,2,31,6,20,1,120,395
46001,Brandon--Souris,126,Deleau,67,1,108,15,9,0,200,564
46001,Brandon--Souris,127,Souris,43,4,56,6,1,0,110,254
46001,Brandon--Souris,128,Souris,81,0,80,7,11,0,179,366
46001,Brandon--Souris,129,Souris,29,0,40,1,8,0,78,186
46001,Brandon--Souris,130,Souris,67,1,68,9,4,1,150,300
46001,Brandon--Souris,131,Carroll,29,1,95,7,9,0,141,302
46001,Brandon--Souris,132,Nesbitt,56,1,62,13,12,1,145,377
46001,Brandon--Souris,133,Treesbank,39,0,121,2,11,3,176,307
46001,Brandon--Souris,134,Wawanesa,72,2,94,6,46,1,221,451
46001,Brandon--Souris,135,Stockton,61,2,147,6,4,3,223,448
46001,Brandon--Souris,136,Glenboro,68,5,131,8,10,0,222,523
46001,Brandon--Souris,137,Dunrea,37,2,61,7,5,0,112,257
46001,Brandon--Souris,138,Ninette,67,3,96,13,8,3,190,431
46001,Brandon--Souris,139,Belmont,30,2,51,10,4,0,97,233
46001,Brandon--Souris,140,Belmont,20,0,29,7,3,1,60,139
46001,Brandon--Souris,141,Baldur,Void,,,,,,,
46001,Brandon--Souris,142,Greenway,27,5,76,5,1,1,115,207
46001,Brandon--Souris,143,Baldur,66,2,37,2,4,0,111,279
46001,Brandon--Souris,144,Broomhill,29,2,69,3,3,0,106,224
46001,Brandon--Souris,145,Grande-Clairière,28,2,83,1,1,0,115,287
46001,Brandon--Souris,146,Argue,11,0,48,1,0,0,60,97
46001,Brandon--Souris,147,Hartney,40,1,113,7,3,1,165,256
46001,Brandon--Souris,148,Pierson,23,0,110,5,3,0,141,310
46001,Brandon--Souris,149,Coulter,9,1,43,0,0,0,53,204
46001,Brandon--Souris,150,Elva,42,0,54,5,1,0,102,324
46001,Brandon--Souris,151,Melita,38,3,64,5,6,0,116,297
46001,Brandon--Souris,152,Melita,20,0,33,2,2,0,57,177
46001,Brandon--Souris,153,Melita,27,0,55,4,2,0,88,206
46001,Brandon--Souris,154,Medora,29,2,68,12,3,0,114,201
46001,Brandon--Souris,155,Waskada,30,0,43,3,3,0,79,204
46001,Brandon--Souris,156,Elgin,23,0,104,5,10,0,142,243
46001,Brandon--Souris,157,Minto,42,1,66,13,3,0,125,223
46001,Brandon--Souris,158,Deloraine,23,0,62,7,3,0,95,143
46001,Brandon--Souris,159,Deloraine,47,1,94,20,13,0,175,338
46001,Brandon--Souris,160,Deloraine,49,0,93,22,10,1,175,317
46001,Brandon--Souris,161,Goodlands,28,1,55,13,6,0,103,389
46001,Brandon--Souris,162,Whitewater,30,2,81,25,2,1,141,240
46001,Brandon--Souris,163,Boissevain,51,6,72,41,8,0,178,343
46001,Brandon--Souris,164,Boissevain,57,1,76,34,6,0,174,341
46001,Brandon--Souris,165,Boissevain,48,5,69,37,6,1,166,370
46001,Brandon--Souris,166,Mountainside,20,0,54,22,2,0,98,198
46001,Brandon--Souris, 167A,Ninga,24,3,58,11,1,0,97,363
46001,Brandon--Souris, 167B,Ninga,28,1,35,6,4,0,74,301
46001,Brandon--Souris,168,Killarney,70,3,79,12,6,1,171,435
46001,Brandon--Souris,169,Killarney,78,3,85,10,6,0,182,353
46001,Brandon--Souris,170,Killarney,41,3,46,11,8,1,110,264
46001,Brandon--Souris,171,Killarney,41,2,64,9,9,1,126,316
46001,Brandon--Souris,172,Killarney,36,3,53,11,5,2,110,291
46001,Brandon--Souris,173,Holmfield,23,3,94,12,4,0,136,287
46001,Brandon--Souris,174,Glenora,18,0,28,0,4,0,50,125
46001,Brandon--Souris,175,Neelin,20,0,101,11,2,0,134,352
46001,Brandon--Souris,176,Cartwright,42,0,58,6,4,0,110,274
46001,Brandon--Souris,177,Mather,42,1,32,11,6,0,92,205
46001,Brandon--Souris,400,Mobile poll,Merged with No. 503B,,,,,,,216
46001,Brandon--Souris,500,Mobile poll,11,0,54,0,0,1,66,110
46001,Brandon--Souris,501,Mobile poll,4,1,19,0,0,0,24,70
46001,Brandon--Souris,502,Mobile poll,7,3,17,3,4,1,35,96
46001,Brandon--Souris, 503A,Mobile poll,13,4,29,2,2,2,52,74
46001,Brandon--Souris, 503B,Mobile poll,42,3,32,6,15,5,103,30
46001,Brandon--Souris,504,Mobile poll,22,1,25,4,4,0,56,149
46001,Brandon--Souris,505,Mobile poll,16,0,21,1,5,2,45,125
46001,Brandon--Souris,506,Mobile poll,9,1,19,2,3,0,34,102
46001,Brandon--Souris,507,Mobile poll,9,0,31,2,3,1,46,94
46001,Brandon--Souris,600,Virden,93,0,243,6,16,0,358,
46001,Brandon--Souris,603,Brandon--Rivers,56,0,66,3,17,2,144,
46001,Brandon--Souris,604,Carberry,29,1,49,3,5,0,87,
46001,Brandon--Souris,605,Brandon--Alexander,139,1,129,1,10,1,281,
46001,Brandon--Souris,606,Brandon,118,1,116,8,22,0,265,
46001,Brandon--Souris,607,Brandon,103,2,75,3,18,0,201,
46001,Brandon--Souris,608,Brandon,130,2,102,7,25,2,268,
46001,Brandon--Souris,609,Brandon--Wawanesa,60,1,41,3,14,0,119,
46001,Brandon--Souris,610,Souris--Hartney,35,1,92,1,6,0,135,
46001,Brandon--Souris,611,Glenboro,16,0,34,1,1,0,52,
46001,Brandon--Souris,612,Melita,38,3,106,13,9,2,171,
46001,Brandon--Souris,613,Deloraine--Boissevain,43,1,88,18,6,0,156,
46001,Brandon--Souris,614,Killarney--Cartwright,63,4,106,4,7,0,184,
46001,Brandon--Souris,,Group 1,3,0,12,2,0,1,18,8
46001,Brandon--Souris,,Group 2,197,3,229,18,42,1,490,
