Electoral District Number,Electoral District Name,Polling Station Number,Polling Station Name,Natalie Courcelles Beaudry,Ted Falk,Janine Gibson,Terry Hayward,Rejected Ballots,Total Votes,Electors
46008,Provencher,1,Pine Falls,10,55,3,31,0,99,239
46008,Provencher,2,Pine Falls,Merged with No. 1,,,,,,206
46008,Provencher,3,Powerview,8,27,3,18,0,56,195
46008,Provencher,4,Powerview--Pine Falls,3,43,4,26,0,76,641
46008,Provencher,5,St-Georges,10,82,4,41,2,139,389
46008,Provencher,6,Great Falls,8,32,1,15,0,56,246
46008,Provencher,7,St-Georges,Merged with No. 5,,,,,,187
46008,Provencher,8,Bird River,11,45,4,25,0,85,247
46008,Provencher,9,Lac du Bonnet,12,74,2,46,0,134,424
46008,Provencher,10,Crescent Bay,9,55,2,37,0,103,399
46008,Provencher, 11A,Lac du Bonnet,17,36,5,35,1,94,431
46008,Provencher, 11B,Lac du Bonnet,10,36,3,28,0,77,393
46008,Provencher,12,Lac du Bonnet,20,42,3,69,1,135,477
46008,Provencher, 13A,Riverland,11,69,4,36,2,122,460
46008,Provencher, 13B,Riverland,18,44,2,26,0,90,392
46008,Provencher,14,Pointe du Bois,8,8,5,3,0,24,70
46008,Provencher,15,Seven Sisters Falls,18,89,9,54,0,170,484
46008,Provencher,16,Pinawa,11,51,10,78,0,150,341
46008,Provencher,17,Pinawa,14,48,8,114,0,184,431
46008,Provencher,18,Pinawa,8,75,8,115,3,209,443
46008,Provencher,19,Lac du Bonnet,Void,,,,,,
46008,Provencher,20,Seddons Corner,4,14,4,12,0,34,257
46008,Provencher,21,Elma,6,34,7,11,0,58,291
46008,Provencher, 22A,Whitemouth,7,50,3,37,0,97,354
46008,Provencher, 22B,Whitemouth,12,46,2,41,0,101,317
46008,Provencher,23,Whitemouth,Void,,,,,,
46008,Provencher,24,Falcon Lake,18,60,5,43,0,126,371
46008,Provencher,25,Prawda,8,16,2,13,0,39,117
46008,Provencher,26,Hadashville,10,43,7,15,1,76,292
46008,Provencher,27,Springfield,7,54,4,25,0,90,439
46008,Provencher,28,Oakbank,9,89,10,70,0,178,687
46008,Provencher,29,Oakbank,8,75,5,69,1,158,472
46008,Provencher, 30A,Oakbank,8,42,3,46,1,100,361
46008,Provencher, 30B,Oakbank,2,39,2,25,0,68,309
46008,Provencher,31,Oakbank,7,72,4,54,0,137,561
46008,Provencher, 32A,Oakbank,8,51,5,41,0,105,389
46008,Provencher, 32B,Oakbank,9,62,1,22,0,94,402
46008,Provencher,33,Hazelridge,12,44,2,33,0,91,458
46008,Provencher, 34A,Anola,7,50,12,33,0,102,291
46008,Provencher, 34B,Anola,7,51,6,31,0,95,276
46008,Provencher,35,Vivian,8,58,24,41,0,131,382
46008,Provencher,36,Ste. Rita,9,39,8,18,0,74,303
46008,Provencher, 37A,Anola,7,33,4,16,1,61,322
46008,Provencher, 37B,Anola,6,26,5,25,0,62,305
46008,Provencher,38,Anola,14,40,8,46,1,109,364
46008,Provencher,39,Anola,5,41,4,17,3,70,219
46008,Provencher,40,Dugald,10,62,4,39,0,115,293
46008,Provencher,41,Dugald,5,67,5,27,2,106,316
46008,Provencher, 42A,Navin,5,24,2,14,1,46,362
46008,Provencher, 42B,Navin,0,18,3,14,0,35,336
46008,Provencher,43,Dugald,16,50,3,27,0,96,307
46008,Provencher,44,St. Adolphe,15,89,6,58,2,170,654
46008,Provencher,45,St. Adolphe,28,32,2,61,0,123,390
46008,Provencher,46,St. Adolphe,34,42,2,55,1,134,429
46008,Provencher,47,Glenlea,16,29,0,19,0,64,222
46008,Provencher, 48A,Ste. Agathe,38,32,5,26,1,102,273
46008,Provencher, 48B,Ste. Agathe,31,42,2,44,1,120,294
46008,Provencher, 49A,Niverville,4,159,2,16,0,181,502
46008,Provencher, 49B,Mobile poll,Merged with No. 508,,,,,,29
46008,Provencher, 50A,Niverville,7,62,2,17,0,88,270
46008,Provencher, 50B,Niverville,2,82,2,23,0,109,318
46008,Provencher,51,Niverville,7,105,4,31,1,148,517
46008,Provencher, 52A,Niverville,6,86,6,15,2,115,413
46008,Provencher, 52B,Niverville,5,62,2,37,1,107,446
46008,Provencher, 52C,Niverville,7,79,1,20,4,111,480
46008,Provencher,53,New Bothwell,5,155,2,18,0,180,491
46008,Provencher,54,Oak Island Settlement,10,53,2,23,0,88,283
46008,Provencher,55,Ile des Chênes,20,62,2,62,0,146,604
46008,Provencher,56,Ile des Chênes,23,50,2,71,0,146,488
46008,Provencher, 57A,Ile des Chênes,17,22,2,29,0,70,333
46008,Provencher, 57B,Ile des Chênes,8,31,0,21,0,60,311
46008,Provencher,58,Ile des Chênes,23,42,4,70,0,139,539
46008,Provencher,59,Lorette,28,40,4,45,0,117,502
46008,Provencher, 60A,Lorette,30,33,2,36,1,102,504
46008,Provencher, 60B,Lorette,20,31,4,36,2,93,481
