Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Arnold Chan,Kevin Clarke,Trevor Ellis,Elizabeth Ying Long,Shahbaz Mir,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 1","Scarborough",54,7,14,1,0,0,76,432
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 2","Scarborough",54,1,21,9,1,1,87,388
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 3","Scarborough",87,1,31,11,0,0,130,641
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 4","Scarborough",106,1,30,11,4,1,153,508
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 5","Scarborough",44,2,14,12,1,0,73,432
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 6","Scarborough",47,0,19,6,0,1,73,270
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 6-1","Scarborough",28,1,23,4,4,0,60,282
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 7","Scarborough",59,1,17,8,0,1,86,407
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 8","Scarborough",55,1,20,5,2,2,85,408
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 9","Scarborough",58,1,10,5,1,2,77,314
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 10","Scarborough",52,2,24,1,0,0,79,301
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 11","Scarborough",57,1,25,6,0,0,89,370
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 12","Scarborough",58,1,18,7,0,1,85,453
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 13","Scarborough",52,0,41,15,0,1,109,489
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 14","Scarborough",53,2,37,14,0,0,106,493
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 15","Scarborough",27,0,14,7,2,1,51,442
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 15-1","Scarborough",32,1,12,10,0,0,55,415
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 15-2","Scarborough",50,1,16,7,3,2,79,443
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 16","Scarborough",Void/Supprimé,,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 17","Scarborough",82,5,41,10,1,1,140,551
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 18","Scarborough",50,2,32,9,0,0,93,462
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 19","Scarborough",53,2,34,4,1,0,94,384
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 20","Scarborough",63,2,31,9,2,1,108,424
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 21","Scarborough",79,1,33,3,2,1,119,457
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 22","Scarborough",83,2,28,8,2,2,125,504
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 23","Scarborough",58,3,21,4,1,2,89,464
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 24","Scarborough",51,0,22,8,0,1,82,366
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 24-1","Scarborough",42,1,19,9,3,0,74,255
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 25","Scarborough",64,0,35,7,1,0,107,491
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 26","Scarborough",77,3,21,6,1,0,108,430
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 27","Scarborough",64,0,34,3,3,0,104,414
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 28","Scarborough",58,1,13,15,0,0,87,480
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 29","Scarborough",60,3,27,5,2,0,97,376
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 30","Scarborough",51,1,16,8,0,0,76,461
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 31","Scarborough",50,1,11,13,1,0,76,401
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 31-1","Scarborough",48,1,13,3,1,1,67,294
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 32","Scarborough",72,7,27,9,3,0,118,515
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 33","Scarborough",93,5,39,4,1,0,142,465
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 34","Scarborough",81,3,23,2,2,1,112,447
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 35","Scarborough",53,2,12,9,0,0,76,277
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 36","Scarborough",91,2,23,20,2,0,138,534
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 37","Scarborough",55,3,4,12,0,0,74,468
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 38","Scarborough",Void/Supprimé,,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 39","Scarborough",39,2,8,7,0,0,56,439
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 40","Scarborough",49,4,16,7,1,0,77,418
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 41","Scarborough",69,1,29,21,2,1,123,538
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 42","Scarborough",64,3,16,13,2,2,100,373
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 43","Scarborough",33,1,15,13,0,1,63,430
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 44","Scarborough",20,2,16,6,0,0,44,267
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 45","Scarborough",65,0,29,7,0,0,101,463
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 46","Scarborough",55,1,13,9,0,1,79,435
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 47","Scarborough",73,1,16,12,1,0,103,652
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 48","Scarborough",36,0,15,3,0,0,54,351
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 49","Scarborough",68,1,11,9,4,0,93,383
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 50","Scarborough",47,2,10,14,1,1,75,482
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 51","Scarborough",20,0,11,6,0,0,37,271
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 52","Scarborough",Void/Supprimé,,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 53","Scarborough",Void/Supprimé,,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 54","Scarborough",Void/Supprimé,,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 55","Scarborough",12,1,13,1,0,0,27,115
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 56","Scarborough",28,3,15,15,2,0,63,444
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 56-1","Scarborough",Void/Supprimé,,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 56-2","Scarborough",25,0,12,4,0,0,41,240
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 57","Scarborough",Void/Supprimé,,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 58","Scarborough",Void/Supprimé,,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 59","Scarborough",43,1,22,5,0,2,73,291
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 60","Scarborough",61,0,19,7,2,0,89,491
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 61","Scarborough",32,8,5,13,0,0,58,474
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 62","Scarborough",46,0,29,7,0,0,82,442
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 63","Scarborough",68,0,35,4,3,0,110,562
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 64","Scarborough",61,2,35,7,5,3,113,441
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 65","Scarborough",Void/Supprimé,,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 66","Scarborough",64,3,40,7,2,1,117,365
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 67","Scarborough",39,0,49,2,2,0,92,425
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 68","Scarborough",59,5,50,11,1,0,126,472
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 69","Scarborough",56,1,45,12,2,2,118,537
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 70","Scarborough",55,4,43,7,0,0,109,427
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 71","Scarborough",54,0,35,9,0,1,99,432
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 72","Scarborough",42,1,34,4,2,0,83,361
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 73","Scarborough",61,0,34,3,1,0,99,395
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 74","Scarborough",28,1,18,4,1,0,52,256
