Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joe Cressy,Linda Groce-Gibbons,Camille Labchuk,Benjamin Sharma,John "The Engineer" Turmel,Adam Vaughan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35095,"Trinity--Spadina/Trinity--Spadina"," 1","Toronto",18,0,3,0,0,22,0,43,219
35095,"Trinity--Spadina/Trinity--Spadina"," 2","Toronto",42,2,3,0,0,37,1,85,324
35095,"Trinity--Spadina/Trinity--Spadina"," 3","Toronto",43,1,7,7,0,50,0,108,402
35095,"Trinity--Spadina/Trinity--Spadina"," 4","Toronto",39,0,5,2,0,43,0,89,364
35095,"Trinity--Spadina/Trinity--Spadina"," 5","Toronto",43,0,12,2,0,68,0,125,552
35095,"Trinity--Spadina/Trinity--Spadina"," 6","Toronto",56,0,7,2,0,77,1,143,433
35095,"Trinity--Spadina/Trinity--Spadina"," 7","Toronto",54,1,8,2,0,50,0,115,379
35095,"Trinity--Spadina/Trinity--Spadina"," 8","Toronto",66,1,5,1,0,65,0,138,458
35095,"Trinity--Spadina/Trinity--Spadina"," 9","Toronto",64,0,5,2,0,44,1,116,360
35095,"Trinity--Spadina/Trinity--Spadina"," 10","Toronto",74,2,7,4,1,50,2,140,427
35095,"Trinity--Spadina/Trinity--Spadina"," 11","Toronto",63,0,2,3,1,59,1,129,421
35095,"Trinity--Spadina/Trinity--Spadina"," 12","Toronto",36,0,7,0,0,15,1,59,273
35095,"Trinity--Spadina/Trinity--Spadina"," 13","Toronto",33,2,6,1,1,33,0,76,300
35095,"Trinity--Spadina/Trinity--Spadina"," 14","Toronto",50,1,4,1,0,80,1,137,498
35095,"Trinity--Spadina/Trinity--Spadina"," 15","Toronto",60,1,10,2,1,69,1,144,443
35095,"Trinity--Spadina/Trinity--Spadina"," 16","Toronto",50,1,9,0,0,45,1,106,391
35095,"Trinity--Spadina/Trinity--Spadina"," 17","Toronto",55,3,10,0,0,55,0,123,451
35095,"Trinity--Spadina/Trinity--Spadina"," 18","Toronto",43,1,5,3,1,35,0,88,360
35095,"Trinity--Spadina/Trinity--Spadina"," 19","Toronto",28,0,13,1,3,43,0,88,280
35095,"Trinity--Spadina/Trinity--Spadina"," 20","Toronto",Void/Supprimé,,,,,,,,
35095,"Trinity--Spadina/Trinity--Spadina"," 21","Toronto",50,0,9,3,0,47,0,109,415
35095,"Trinity--Spadina/Trinity--Spadina"," 22","Toronto",31,0,11,3,1,64,0,110,389
35095,"Trinity--Spadina/Trinity--Spadina"," 23","Toronto",18,0,13,6,0,46,0,83,298
35095,"Trinity--Spadina/Trinity--Spadina"," 24","Toronto",18,0,9,1,0,49,0,77,317
35095,"Trinity--Spadina/Trinity--Spadina"," 25","Toronto",29,0,10,1,0,27,0,67,231
35095,"Trinity--Spadina/Trinity--Spadina"," 26","Toronto",21,0,14,1,1,38,0,75,291
35095,"Trinity--Spadina/Trinity--Spadina"," 27","Toronto",23,0,7,0,0,26,0,56,219
35095,"Trinity--Spadina/Trinity--Spadina"," 28","Toronto",16,0,0,0,0,17,0,33,199
35095,"Trinity--Spadina/Trinity--Spadina"," 29","Toronto",18,0,3,1,0,36,0,58,296
35095,"Trinity--Spadina/Trinity--Spadina"," 30","Toronto",21,0,4,3,1,24,0,53,253
35095,"Trinity--Spadina/Trinity--Spadina"," 31","Toronto",62,1,16,3,1,66,0,149,532
35095,"Trinity--Spadina/Trinity--Spadina"," 32","Toronto",32,0,3,4,0,58,0,97,287
35095,"Trinity--Spadina/Trinity--Spadina"," 33","Toronto",29,1,9,1,0,39,0,79,221
35095,"Trinity--Spadina/Trinity--Spadina"," 34","Toronto",50,0,16,3,0,72,0,141,452
35095,"Trinity--Spadina/Trinity--Spadina"," 35","Toronto",39,0,3,4,0,61,0,107,365
35095,"Trinity--Spadina/Trinity--Spadina"," 36","Toronto",33,0,5,5,0,54,0,97,358
35095,"Trinity--Spadina/Trinity--Spadina"," 37","Toronto",32,0,19,6,0,64,0,121,398
35095,"Trinity--Spadina/Trinity--Spadina"," 38","Toronto",20,0,3,3,0,19,0,45,196
35095,"Trinity--Spadina/Trinity--Spadina"," 39","Toronto",47,0,11,1,1,39,0,99,359
35095,"Trinity--Spadina/Trinity--Spadina"," 40","Toronto",55,1,2,6,0,49,0,113,403
35095,"Trinity--Spadina/Trinity--Spadina"," 41","Toronto",10,2,2,2,1,23,0,40,186
35095,"Trinity--Spadina/Trinity--Spadina"," 42","Toronto",39,0,6,6,2,42,0,95,408
35095,"Trinity--Spadina/Trinity--Spadina"," 43","Toronto",26,0,4,6,0,50,0,86,354
35095,"Trinity--Spadina/Trinity--Spadina"," 44","Toronto",19,0,10,7,0,46,1,83,324
35095,"Trinity--Spadina/Trinity--Spadina"," 45","Toronto",29,0,7,12,0,69,0,117,385
