Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Deheer,Kyle Harrietha,Lori McDaniel,Tim Moen,David Yurdiga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 1","Garden Creek",0,6,2,0,0,0,8,118
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 2","Chipewyan Lakes ",Merged with No. 15/Fusionné avec le nº 15,,,,,,,13
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 3","Peerless Lake ",Void/Supprimé,,,,,,,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 4","Peerless Lake ",0,8,2,0,0,0,10,219
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 5","Loon Lake",0,4,0,0,2,0,6,200
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 6","Red Earth Creek ",1,0,1,0,15,0,17,345
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 7","Trout Lake",0,0,2,0,3,0,5,102
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 8","Atikameg",0,12,1,1,1,0,15,378
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 9A","Wabasca",1,18,1,1,5,0,26,418
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 9B","Wabasca",3,31,3,0,3,0,40,312
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 9C","Wabasca",0,17,1,1,11,0,30,327
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 9-1","Wabasca",Merged with No. 9B/Fusionné avec le nº 9B,,,,,,,1
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 9-2A","Wabasca",Merged with No. 9A/Fusionné avec le nº 9A,,,,,,,191
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 9-2B","Wabasca",Merged with No. 9B/Fusionné avec le nº 9B,,,,,,,165
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 9-2C","Wabasca",Merged with No. 9C/Fusionné avec le nº 9C,,,,,,,110
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 10","Wabasca",2,21,2,0,1,0,26,321
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 11","Sandy Lake ",1,21,1,0,1,0,24,275
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 12","Calling Lake ",1,16,5,1,16,0,39,447
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 13","Fitzgerald",Merged with No. 15/Fusionné avec le nº 15,,,,,,,61
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 14","Fort Chipewyan",Merged with No. 15/Fusionné avec le nº 15,,,,,,,334
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 15","Fort Chipewyan",6,62,5,0,4,0,77,188
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 16","Fort McKay",11,51,11,2,2,0,77,318
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 17","Saprae Creek",2,37,6,1,80,0,126,666
