Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Larry Ashmore,John Barlow,Aileen Burke,Dustin Fuller,David Reimer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48020,"Macleod/Macleod"," 1","Kananaskis",4,4,0,4,0,0,12,102
48020,"Macleod/Macleod"," 2","Bragg Creek",Merged with No. 12/Fusionné avec le nº 12,,,,,,,16
48020,"Macleod/Macleod"," 2-1A","Foothills No. 31",4,53,7,13,1,0,78,539
48020,"Macleod/Macleod"," 2-1B","Foothills No. 31",1,57,4,21,1,0,84,540
48020,"Macleod/Macleod"," 3A","Jumping Pound",Merged with No. 3-1A/Fusionné avec le nº 3-1A,,,,,,,224
48020,"Macleod/Macleod"," 3B","Jumping Pound",Merged with No. 3-1B/Fusionné avec le nº 3-1B,,,,,,,202
48020,"Macleod/Macleod"," 3-1A","Jumping Pound",1,20,0,2,0,1,24,14
48020,"Macleod/Macleod"," 3-1B","Jumping Pound",3,18,1,3,0,0,25,60
48020,"Macleod/Macleod"," 4A","Jumping Pound",3,13,1,1,0,0,18,403
48020,"Macleod/Macleod"," 4B","Jumping Pound",0,13,0,3,0,0,16,407
48020,"Macleod/Macleod"," 5","Glenbow",0,13,0,2,0,0,15,214
48020,"Macleod/Macleod"," 5-1","Glenbow",1,22,1,7,1,0,32,348
48020,"Macleod/Macleod"," 5-2","Glenbow",1,4,1,0,0,0,6,144
48020,"Macleod/Macleod"," 6A","Rocky View No. 44",2,28,5,7,0,0,42,425
48020,"Macleod/Macleod"," 6B","Rocky View No. 44",4,25,6,8,3,1,47,430
48020,"Macleod/Macleod"," 7","Rocky View No. 44",6,32,4,9,0,0,51,435
48020,"Macleod/Macleod"," 8A","Rocky View No. 44",1,22,0,2,0,0,25,514
48020,"Macleod/Macleod"," 8B","Rocky View No. 44",3,20,0,4,1,0,28,505
48020,"Macleod/Macleod"," 9A","Pirmez Creek",3,39,3,6,0,0,51,370
48020,"Macleod/Macleod"," 9B","Pirmez Creek",0,22,1,6,0,0,29,350
48020,"Macleod/Macleod"," 9-1","Rocky View No. 44",1,22,0,4,0,0,27,481
48020,"Macleod/Macleod"," 9-2A","Elbow Valley",1,28,1,7,1,0,38,445
48020,"Macleod/Macleod"," 9-2B","Elbow Valley",1,36,1,9,0,0,47,491
48020,"Macleod/Macleod"," 9-3","Elbow Valley",2,31,0,2,0,0,35,378
48020,"Macleod/Macleod"," 10A","Rocky View No. 44",3,22,2,9,0,0,36,498
48020,"Macleod/Macleod"," 10B","Rocky View No. 44",3,28,2,4,2,0,39,499
48020,"Macleod/Macleod"," 11","Rocky View No. 44",2,23,0,5,0,0,30,312
48020,"Macleod/Macleod"," 12","Bragg Creek",7,29,9,11,1,0,57,413
48020,"Macleod/Macleod"," 13","Bragg Creek",6,16,1,5,0,0,28,269
48020,"Macleod/Macleod"," 14","Bragg Creek",16,37,3,20,1,0,77,591
48020,"Macleod/Macleod"," 14-1","Bragg Creek",4,32,2,16,0,0,54,282
48020,"Macleod/Macleod"," 15","Sarcee",4,34,1,27,0,0,66,357
48020,"Macleod/Macleod"," 16","Sarcee",4,30,4,26,1,0,65,345
48020,"Macleod/Macleod"," 17","Sarcee",0,0,0,0,0,0,0,402
48020,"Macleod/Macleod"," 18","Bragg Creek",Void/Supprimé,,,,,,,
48020,"Macleod/Macleod"," 19","Priddis",8,58,2,16,2,1,87,497
48020,"Macleod/Macleod"," 20","Priddis",3,85,2,7,0,0,97,595
48020,"Macleod/Macleod"," 21A","Millarville",10,55,2,10,4,0,81,411
48020,"Macleod/Macleod"," 21B","Millarville",3,63,4,17,4,0,91,408
48020,"Macleod/Macleod"," 22","Turner Valley",10,65,7,8,3,0,93,431
48020,"Macleod/Macleod"," 23","Longview",9,97,5,24,6,0,141,588
48020,"Macleod/Macleod"," 24A","Academy",1,32,1,25,7,0,66,578
48020,"Macleod/Macleod"," 24B","Academy",0,19,2,3,1,0,25,516
48020,"Macleod/Macleod"," 24C","Academy",5,21,1,7,0,0,34,516
48020,"Macleod/Macleod"," 24D","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,19
48020,"Macleod/Macleod"," 25","De Winton",4,54,1,12,2,1,74,340
48020,"Macleod/Macleod"," 26","Millarville",4,57,1,4,2,0,68,239
48020,"Macleod/Macleod"," 27","Millarville",3,32,0,4,5,0,44,282
48020,"Macleod/Macleod"," 27-1","Foothills No. 31",0,57,1,5,1,0,64,412
48020,"Macleod/Macleod"," 28A","Black Diamond",3,19,0,8,1,0,31,242
48020,"Macleod/Macleod"," 28B","Black Diamond",13,25,1,7,1,0,47,248
48020,"Macleod/Macleod"," 29A","Black Diamond",4,42,0,6,1,3,56,402
48020,"Macleod/Macleod"," 29B","Black Diamond",19,50,1,13,4,0,87,405
48020,"Macleod/Macleod"," 30","Turner Valley",9,66,4,22,7,2,110,485
48020,"Macleod/Macleod"," 31A","Turner Valley",14,45,2,16,3,0,80,361
48020,"Macleod/Macleod"," 31B","Turner Valley",7,38,4,13,4,0,66,368
48020,"Macleod/Macleod"," 32","Turner Valley",13,82,4,13,2,1,115,534
48020,"Macleod/Macleod"," 33","Black Diamond",10,29,1,5,2,0,47,245
48020,"Macleod/Macleod"," 34A","Black Diamond",5,67,0,24,2,0,98,438
48020,"Macleod/Macleod"," 34B","Black Diamond",14,62,1,16,3,0,96,421
48020,"Macleod/Macleod"," 34C","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,8
48020,"Macleod/Macleod"," 34D","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,4
48020,"Macleod/Macleod"," 34E","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,13
48020,"Macleod/Macleod"," 35","Eden Valley",2,6,4,12,0,1,25,176
48020,"Macleod/Macleod"," 36","High River",1,66,0,8,4,0,79,552
48020,"Macleod/Macleod"," 37A","De Winton",0,22,1,5,0,0,28,422
48020,"Macleod/Macleod"," 37B","De Winton",0,27,3,7,4,0,41,420
48020,"Macleod/Macleod"," 37C","De Winton",0,39,0,2,0,0,41,418
48020,"Macleod/Macleod"," 37D","De Winton",1,28,0,6,1,0,36,419
48020,"Macleod/Macleod"," 37E","De Winton",0,18,0,2,1,0,21,422
48020,"Macleod/Macleod"," 38A","De Winton",4,27,7,1,0,0,39,366
48020,"Macleod/Macleod"," 38B","De Winton",3,27,1,9,2,0,42,364
48020,"Macleod/Macleod"," 38-1","De Winton",1,32,0,6,0,0,39,360
48020,"Macleod/Macleod"," 39","Okotoks",6,80,4,10,3,4,107,600
48020,"Macleod/Macleod"," 40A","De Winton",2,37,1,6,1,1,48,355
48020,"Macleod/Macleod"," 40B","De Winton",2,28,3,3,1,0,37,354
48020,"Macleod/Macleod"," 41A","Okotoks",3,51,1,7,0,0,62,394
48020,"Macleod/Macleod"," 41B","Okotoks",5,35,1,13,1,0,55,401
48020,"Macleod/Macleod"," 42","Okotoks",Merged with No. 44/Fusionné avec le nº 44,,,,,,,79
48020,"Macleod/Macleod"," 43A","Okotoks",3,41,2,14,1,0,61,294
48020,"Macleod/Macleod"," 43B","Okotoks",2,46,1,30,0,0,79,301
48020,"Macleod/Macleod"," 44","Okotoks",3,55,0,19,4,1,82,301
48020,"Macleod/Macleod"," 45","Okotoks",6,49,3,19,2,0,79,480
48020,"Macleod/Macleod"," 46A","Okotoks",3,39,0,18,3,0,63,467
48020,"Macleod/Macleod"," 46B","Okotoks",3,47,7,13,0,0,70,467
48020,"Macleod/Macleod"," 46-1","Okotoks",6,61,3,19,1,2,92,655
48020,"Macleod/Macleod"," 47A","Okotoks",3,50,2,9,4,0,68,476
48020,"Macleod/Macleod"," 47B","Okotoks",2,83,1,19,3,0,108,493
48020,"Macleod/Macleod"," 47-1A","Okotoks",2,36,0,8,0,0,46,427
48020,"Macleod/Macleod"," 47-1B","Okotoks",1,41,2,8,0,0,52,428
48020,"Macleod/Macleod"," 47-2A","Okotoks",1,14,1,24,4,1,45,363
48020,"Macleod/Macleod"," 47-2B","Okotoks",0,21,1,8,0,2,32,358
48020,"Macleod/Macleod"," 47-2C","Okotoks",1,21,3,11,0,0,36,339
48020,"Macleod/Macleod"," 48A","Okotoks",3,49,1,12,0,0,65,351
48020,"Macleod/Macleod"," 48B","Okotoks",1,54,5,21,4,0,85,350
48020,"Macleod/Macleod"," 48C","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,146
48020,"Macleod/Macleod"," 49","Okotoks",1,77,2,16,5,1,102,466
48020,"Macleod/Macleod"," 50","Okotoks",4,67,1,28,3,0,103,507
48020,"Macleod/Macleod"," 50-1","Okotoks",1,57,1,13,5,0,77,392
48020,"Macleod/Macleod"," 51","Okotoks",2,54,3,27,0,0,86,523
48020,"Macleod/Macleod"," 52A","Okotoks",1,15,3,7,1,0,27,199
48020,"Macleod/Macleod"," 52B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,,118
48020,"Macleod/Macleod"," 53","Okotoks",1,85,1,34,5,3,129,523
48020,"Macleod/Macleod"," 53-1","Okotoks",1,70,1,12,2,1,87,515
48020,"Macleod/Macleod"," 54","Okotoks",5,60,2,25,8,0,100,579
48020,"Macleod/Macleod"," 55A","Okotoks",2,74,1,14,2,1,94,386
48020,"Macleod/Macleod"," 55B","Okotoks",3,65,5,9,3,0,85,395
48020,"Macleod/Macleod"," 56","Okotoks",1,28,0,6,1,0,36,445
48020,"Macleod/Macleod"," 57","Okotoks",0,53,6,18,6,0,83,664
48020,"Macleod/Macleod"," 58","Okotoks",2,43,0,33,3,1,82,615
48020,"Macleod/Macleod"," 58-1","Okotoks",1,32,1,9,4,0,47,365
48020,"Macleod/Macleod"," 59A","Okotoks",1,53,2,11,3,1,71,375
48020,"Macleod/Macleod"," 59B","Okotoks",2,45,4,14,1,0,66,362
48020,"Macleod/Macleod"," 60","Okotoks",0,31,0,22,0,0,53,320
48020,"Macleod/Macleod"," 60-1","Okotoks",1,17,0,13,1,0,32,275
48020,"Macleod/Macleod"," 61A","Okotoks",1,28,0,13,2,0,44,354
48020,"Macleod/Macleod"," 61B","Okotoks",1,17,0,15,1,0,34,349
48020,"Macleod/Macleod"," 61-1A","Okotoks",2,10,1,8,3,0,24,335
48020,"Macleod/Macleod"," 61-1B","Okotoks",0,12,0,4,0,0,16,339
48020,"Macleod/Macleod"," 62","Okotoks",0,42,4,11,3,0,60,556
48020,"Macleod/Macleod"," 62-1","Okotoks",0,68,7,16,1,0,92,499
48020,"Macleod/Macleod"," 63","Okotoks",0,50,1,10,0,0,61,331
48020,"Macleod/Macleod"," 63-1","Okotoks",1,53,2,15,2,0,73,483
48020,"Macleod/Macleod"," 64","Okotoks",1,65,0,16,2,0,84,542
48020,"Macleod/Macleod"," 65","Okotoks",Void/Supprimé,,,,,,,
48020,"Macleod/Macleod"," 66","Okotoks",4,58,1,7,2,0,72,483
48020,"Macleod/Macleod"," 66-1","Okotoks",1,33,1,7,0,0,42,322
48020,"Macleod/Macleod"," 67A","Gladys",3,45,2,6,2,1,59,292
48020,"Macleod/Macleod"," 67B","Gladys",3,48,7,9,3,0,70,295
48020,"Macleod/Macleod"," 68","High River",3,40,0,9,1,0,53,316
48020,"Macleod/Macleod"," 68-1","High River",9,110,8,10,2,0,139,796
48020,"Macleod/Macleod"," 69A","High River",1,29,1,11,7,0,49,347
48020,"Macleod/Macleod"," 69B","High River",2,49,2,9,3,0,65,349
48020,"Macleod/Macleod"," 69-1A","High River",0,37,4,13,0,0,54,338
48020,"Macleod/Macleod"," 69-1B","High River",6,48,2,13,1,0,70,337
48020,"Macleod/Macleod"," 69-2","High River",3,166,3,26,4,1,203,666
48020,"Macleod/Macleod"," 70","High River",6,106,8,14,4,0,138,515
48020,"Macleod/Macleod"," 70-1","High River",0,95,4,10,3,0,112,316
48020,"Macleod/Macleod"," 70-2","High River",2,62,0,6,0,1,71,451
48020,"Macleod/Macleod"," 71","High River",3,68,6,16,4,0,97,447
48020,"Macleod/Macleod"," 72","High River",5,46,2,4,3,1,61,269
