Electoral District Number/NumÇro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/NumÇro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Josh Borenstein,Celina Caesar-Chavannes,Craig Cameron,Trish McAuliffe,Pat Perkins,"John ""The Engineer"" Turmel",Rejected Ballots/Bulletins rejetÇs,Total Votes/Total des votes,Electors/êlecteurs
35099,Whitby--Oshawa/Whitby--Oshawa,1,Whitby,0,43,2,9,64,1,1,120,492
35099,Whitby--Oshawa/Whitby--Oshawa,2,Whitby,0,30,4,5,46,0,1,86,380
35099,Whitby--Oshawa/Whitby--Oshawa,3,Whitby,0,16,2,6,82,1,0,107,368
35099,Whitby--Oshawa/Whitby--Oshawa,4,Whitby,0,27,1,5,49,0,0,82,379
35099,Whitby--Oshawa/Whitby--Oshawa, 5A,Whitby,0,31,0,9,44,0,0,84,396
35099,Whitby--Oshawa/Whitby--Oshawa, 5B,Whitby,0,31,0,2,47,0,0,80,420
35099,Whitby--Oshawa/Whitby--Oshawa, 5C,Whitby,0,38,1,2,36,1,0,78,415
35099,Whitby--Oshawa/Whitby--Oshawa,6,Whitby,0,21,1,2,44,0,0,68,417
35099,Whitby--Oshawa/Whitby--Oshawa, 7A,Whitby,0,68,0,3,118,0,1,190,289
35099,Whitby--Oshawa/Whitby--Oshawa, 7B,Whitby,0,28,0,2,49,0,0,79,295
35099,Whitby--Oshawa/Whitby--Oshawa, 8A,Whitby,0,43,0,4,37,0,0,84,456
35099,Whitby--Oshawa/Whitby--Oshawa, 8B,Whitby,0,43,3,5,57,0,0,108,476
35099,Whitby--Oshawa/Whitby--Oshawa, 8C,Whitby,0,46,0,2,39,0,0,87,441
35099,Whitby--Oshawa/Whitby--Oshawa,9,Whitby,0,22,3,1,56,0,0,82,407
35099,Whitby--Oshawa/Whitby--Oshawa,10,Whitby,0,39,0,7,51,0,1,98,522
35099,Whitby--Oshawa/Whitby--Oshawa,11,Whitby,0,55,1,8,65,0,0,129,447
35099,Whitby--Oshawa/Whitby--Oshawa, 12A,Whitby,Merged with No. 7A/FusionnÇ avec le nß 7A,,,,,,,,235
35099,Whitby--Oshawa/Whitby--Oshawa, 12B,Whitby,Merged with No. 7B/FusionnÇ avec le nß 7B,,,,,,,,209
35099,Whitby--Oshawa/Whitby--Oshawa,13,Whitby,0,37,3,2,33,0,0,75,390
35099,Whitby--Oshawa/Whitby--Oshawa,14,Whitby,0,26,2,2,61,0,0,91,400
35099,Whitby--Oshawa/Whitby--Oshawa,15,Whitby,0,28,3,5,58,0,0,94,448
35099,Whitby--Oshawa/Whitby--Oshawa,16,Whitby,0,21,0,6,62,2,0,91,411
35099,Whitby--Oshawa/Whitby--Oshawa,17,Whitby,0,31,0,4,61,0,0,96,487
35099,Whitby--Oshawa/Whitby--Oshawa,18,Whitby,0,40,0,6,47,0,0,93,397
35099,Whitby--Oshawa/Whitby--Oshawa, 19A,Whitby,0,36,1,10,58,0,1,106,265
35099,Whitby--Oshawa/Whitby--Oshawa, 19B,Whitby,0,46,2,9,70,1,1,129,267
35099,Whitby--Oshawa/Whitby--Oshawa, 20A,Whitby,Merged with No. 19A/FusionnÇ avec le nß 19A,,,,,,,,156
