Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Eglinski,Cory Lystang,Ryan Heinz Maguhn,Eric Rosendahl,Dean Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48028,Yellowhead/Yellowhead, 1A,Grande Cache,21,1,10,2,1,0,35,378
48028,Yellowhead/Yellowhead, 1B,Grande Cache,22,0,11,2,2,0,37,300
48028,Yellowhead/Yellowhead,2,Grande Cache,Void/Supprimé,,,,,,,
48028,Yellowhead/Yellowhead,3,Grande Cache,17,0,6,3,1,0,27,278
48028,Yellowhead/Yellowhead,4,Grande Cache,24,0,20,3,1,0,48,277
48028,Yellowhead/Yellowhead,5,Grande Cache,24,1,7,4,0,0,36,234
48028,Yellowhead/Yellowhead,6,Grande Cache,14,1,8,6,0,0,29,255
48028,Yellowhead/Yellowhead, 7A,Grande Cache,10,0,1,2,0,0,13,268
48028,Yellowhead/Yellowhead, 7B,Grande Cache,2,2,9,2,1,0,16,222
48028,Yellowhead/Yellowhead, 7-1,Grande Cache,0,0,0,0,0,0,0,4
48028,Yellowhead/Yellowhead,8,Grande Cache,27,3,15,3,2,0,50,344
48028,Yellowhead/Yellowhead,9,Grande Cache,15,1,10,6,6,0,38,315
48028,Yellowhead/Yellowhead,10,Fox Creek,10,0,1,4,1,0,16,246
48028,Yellowhead/Yellowhead,11,Fox Creek,Void/Supprimé,,,,,,,
48028,Yellowhead/Yellowhead,12,Fox Creek,12,0,3,1,4,0,20,355
48028,Yellowhead/Yellowhead,13,Fox Creek,10,0,7,5,3,0,25,376
48028,Yellowhead/Yellowhead,14,Fox Creek,6,1,4,2,0,0,13,326
48028,Yellowhead/Yellowhead, 14-1,Fox Creek,15,0,1,1,2,0,19,194
48028,Yellowhead/Yellowhead,15,Swan Hills,32,0,0,2,2,1,37,301
48028,Yellowhead/Yellowhead,16,Swan Hills,20,0,2,0,3,0,25,219
48028,Yellowhead/Yellowhead,17,Swan Hills,21,0,4,1,2,0,28,320
48028,Yellowhead/Yellowhead,18,Swan Hills,25,1,6,1,1,0,34,257
48028,Yellowhead/Yellowhead,19,Windfall,30,3,6,5,2,0,46,465
48028,Yellowhead/Yellowhead,20,Lone Pine,17,0,0,5,2,0,24,158
48028,Yellowhead/Yellowhead,21,Freeman River,21,1,4,7,3,0,36,314
48028,Yellowhead/Yellowhead,22,Blue Ridge,35,2,1,2,4,0,44,253
48028,Yellowhead/Yellowhead,23,Connor Creek,54,9,3,9,7,0,82,409
48028,Yellowhead/Yellowhead,24,Green Court,34,3,2,1,4,0,44,292
48028,Yellowhead/Yellowhead, 25A,Whitecourt,33,0,3,1,2,0,39,415
48028,Yellowhead/Yellowhead, 25B,Whitecourt,36,1,1,3,7,0,48,440
48028,Yellowhead/Yellowhead, 26A,Whitecourt,37,2,7,2,6,0,54,288
48028,Yellowhead/Yellowhead, 26B,Whitecourt,25,3,3,0,1,0,32,264
48028,Yellowhead/Yellowhead, 27A,Anselmo,21,2,7,2,9,1,42,260
48028,Yellowhead/Yellowhead, 27B,Anselmo,30,4,1,1,0,0,36,225
48028,Yellowhead/Yellowhead,28,Whitecourt,7,1,3,2,2,0,15,234
48028,Yellowhead/Yellowhead,29,Whitecourt,10,3,5,3,0,0,21,385
48028,Yellowhead/Yellowhead,30,Whitecourt,18,1,6,3,1,0,29,382
