Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35078,"Ottawa--Vanier","Ottawa--Vanier"," 1","Gloucester",N,N,"",0,392,"Dookeran","","Nira","Green Party","Parti Vert",N,N,5
35078,"Ottawa--Vanier","Ottawa--Vanier"," 1","Gloucester",N,N,"",0,392,"Fortier","","Mona","Liberal","Libéral",N,Y,72
35078,"Ottawa--Vanier","Ottawa--Vanier"," 1","Gloucester",N,N,"",0,392,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,23
35078,"Ottawa--Vanier","Ottawa--Vanier"," 1","Gloucester",N,N,"",0,392,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,45
35078,"Ottawa--Vanier","Ottawa--Vanier"," 1","Gloucester",N,N,"",0,392,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,1
35078,"Ottawa--Vanier","Ottawa--Vanier"," 1","Gloucester",N,N,"",0,392,"Wilson","","Christina","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 1","Gloucester",N,N,"",0,392,"Wilson","","Damien","Libertarian","Libertarien",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 2","Gloucester",N,N,"",0,444,"Dookeran","","Nira","Green Party","Parti Vert",N,N,5
35078,"Ottawa--Vanier","Ottawa--Vanier"," 2","Gloucester",N,N,"",0,444,"Fortier","","Mona","Liberal","Libéral",N,Y,90
35078,"Ottawa--Vanier","Ottawa--Vanier"," 2","Gloucester",N,N,"",0,444,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,40
35078,"Ottawa--Vanier","Ottawa--Vanier"," 2","Gloucester",N,N,"",0,444,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,40
35078,"Ottawa--Vanier","Ottawa--Vanier"," 2","Gloucester",N,N,"",0,444,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,1
35078,"Ottawa--Vanier","Ottawa--Vanier"," 2","Gloucester",N,N,"",0,444,"Wilson","","Christina","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 2","Gloucester",N,N,"",0,444,"Wilson","","Damien","Libertarian","Libertarien",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 3","Gloucester",N,N,"",0,442,"Dookeran","","Nira","Green Party","Parti Vert",N,N,8
35078,"Ottawa--Vanier","Ottawa--Vanier"," 3","Gloucester",N,N,"",0,442,"Fortier","","Mona","Liberal","Libéral",N,Y,71
35078,"Ottawa--Vanier","Ottawa--Vanier"," 3","Gloucester",N,N,"",0,442,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,33
35078,"Ottawa--Vanier","Ottawa--Vanier"," 3","Gloucester",N,N,"",0,442,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,37
35078,"Ottawa--Vanier","Ottawa--Vanier"," 3","Gloucester",N,N,"",0,442,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,1
35078,"Ottawa--Vanier","Ottawa--Vanier"," 3","Gloucester",N,N,"",0,442,"Wilson","","Christina","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 3","Gloucester",N,N,"",0,442,"Wilson","","Damien","Libertarian","Libertarien",N,N,1
35078,"Ottawa--Vanier","Ottawa--Vanier"," 4","Gloucester",N,N,"",1,426,"Dookeran","","Nira","Green Party","Parti Vert",N,N,7
35078,"Ottawa--Vanier","Ottawa--Vanier"," 4","Gloucester",N,N,"",1,426,"Fortier","","Mona","Liberal","Libéral",N,Y,68
35078,"Ottawa--Vanier","Ottawa--Vanier"," 4","Gloucester",N,N,"",1,426,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,33
35078,"Ottawa--Vanier","Ottawa--Vanier"," 4","Gloucester",N,N,"",1,426,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,28
35078,"Ottawa--Vanier","Ottawa--Vanier"," 4","Gloucester",N,N,"",1,426,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 4","Gloucester",N,N,"",1,426,"Wilson","","Christina","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 4","Gloucester",N,N,"",1,426,"Wilson","","Damien","Libertarian","Libertarien",N,N,2
35078,"Ottawa--Vanier","Ottawa--Vanier"," 5","Gloucester",N,N,"",3,389,"Dookeran","","Nira","Green Party","Parti Vert",N,N,1
35078,"Ottawa--Vanier","Ottawa--Vanier"," 5","Gloucester",N,N,"",3,389,"Fortier","","Mona","Liberal","Libéral",N,Y,67
35078,"Ottawa--Vanier","Ottawa--Vanier"," 5","Gloucester",N,N,"",3,389,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,15
35078,"Ottawa--Vanier","Ottawa--Vanier"," 5","Gloucester",N,N,"",3,389,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,29
